month,cpi
1961 Jan,26.553
1961 Feb,26.669
1961 Mar,26.553
1961 Apr,26.65
1961 May,26.728
1961 Jun,26.728
1961 Jul,26.728
1961 Aug,26.728
1961 Sep,26.728
1961 Oct,26.728
1961 Nov,26.769
1961 Dec,26.694
1962 Jan,26.769
1962 Feb,26.752
1962 Mar,26.694
1962 Apr,26.694
1962 May,26.918
1962 Jun,26.918
1962 Jul,26.918
1962 Aug,26.901
1962 Sep,26.901
1962 Oct,26.901
1962 Nov,26.911
1962 Dec,26.911
1963 Jan,26.832
1963 Feb,26.832
1963 Mar,26.832
1963 Apr,26.868
1963 May,26.865
1963 Jun,26.865
1963 Jul,26.865
1963 Aug,26.865
1963 Sep,26.882
1963 Oct,26.971
1963 Nov,27.104
1963 Dec,27.104
1964 Jan,27.104
1964 Feb,27.104
1964 Mar,27.162
1964 Apr,27.162
1964 May,27.05
1964 Jun,27.05
1964 Jul,27.05
1964 Aug,27.41
1964 Sep,27.723
1964 Oct,27.836
1964 Nov,28.079
1964 Dec,28.079
1965 Jan,28.079
1965 Feb,28.079
1965 Mar,27.954
1965 Apr,27.954
1965 May,27.954
1965 Jun,27.92
1965 Jul,27.92
1965 Aug,27.836
1965 Sep,27.748
1965 Oct,27.855
1965 Nov,27.826
1965 Dec,27.766
1966 Jan,27.845
1966 Feb,27.845
1966 Mar,27.809
1966 Apr,27.845
1966 May,27.499
1966 Jun,27.463
1966 Jul,27.499
1966 Aug,27.499
1966 Sep,27.499
1966 Oct,27.557
1966 Nov,28.359
1966 Dec,28.253
1967 Jan,28.253
1967 Feb,28.349
1967 Mar,28.313
1967 Apr,28.259
1967 May,28.493
1967 Jun,28.493
1967 Jul,28.457
1967 Aug,28.457
1967 Sep,28.529
1967 Oct,28.529
1967 Nov,28.605
1967 Dec,28.605
1968 Jan,28.658
1968 Feb,28.658
1968 Mar,28.605
1968 Apr,28.605
1968 May,28.775
1968 Jun,28.775
1968 Jul,28.758
1968 Aug,28.893
1968 Sep,28.893
1968 Oct,29.071
1968 Nov,29.054
1968 Dec,28.721
1969 Jan,29.103
1969 Feb,29.22
1969 Mar,29.22
1969 Apr,29.22
1969 May,29.464
1969 Jun,29.534
1969 Jul,29.534
1969 Aug,29.587
1969 Sep,29.587
1969 Oct,29.587
1969 Nov,29.563
1969 Dec,29.563
1970 Jan,28.83
1970 Feb,28.83
1970 Mar,29.383
1970 Apr,29.876
1970 May,29.857
1970 Jun,29.857
1970 Jul,29.857
1970 Aug,29.857
1970 Sep,29.857
1970 Oct,29.857
1970 Nov,29.857
1970 Dec,29.857
1971 Jan,29.876
1971 Feb,29.876
1971 Mar,30.112
1971 Apr,30.112
1971 May,30.503
1971 Jun,30.365
1971 Jul,30.471
1971 Aug,30.336
1971 Sep,30.513
1971 Oct,30.537
1971 Nov,30.418
1971 Dec,30.628
1972 Jan,30.628
1972 Feb,30.628
1972 Mar,30.682
1972 Apr,30.682
1972 May,30.823
1972 Jun,30.823
1972 Jul,30.823
1972 Aug,30.823
1972 Sep,30.823
1972 Oct,30.857
1972 Nov,30.949
1972 Dec,30.949
1973 Jan,30.949
1973 Feb,31.538
1973 Mar,31.538
1973 Apr,31.553
1973 May,31.965
1973 Jun,31.976
1973 Jul,31.976
1973 Aug,31.976
1973 Sep,31.97
1973 Oct,31.992
1973 Nov,32.406
1973 Dec,32.412
1974 Jan,35.133
1974 Feb,35.068
1974 Mar,35.517
1974 Apr,35.557
1974 May,35.792
1974 Jun,35.758
1974 Jul,37.153
1974 Aug,37.138
1974 Sep,37.146
1974 Oct,37.159
1974 Nov,37.46
1974 Dec,37.452
1975 Jan,37.451
1975 Feb,37.449
1975 Mar,37.427
1975 Apr,37.463
1975 May,38.002
1975 Jun,38.006
1975 Jul,38.891
1975 Aug,38.891
1975 Sep,40.667
1975 Oct,40.722
1975 Nov,41.053
1975 Dec,41.057
1976 Jan,41.103
1976 Feb,41.14
1976 Mar,41.603
1976 Apr,41.6
1976 May,41.603
1976 Jun,41.605
1976 Jul,41.614
1976 Aug,41.618
1976 Sep,41.618
1976 Oct,41.627
1976 Nov,41.683
1976 Dec,41.683
1977 Jan,41.699
1977 Feb,41.792
1977 Mar,41.882
1977 Apr,41.884
1977 May,42.089
1977 Jun,42.096
1977 Jul,42.099
1977 Aug,42.099
1977 Sep,42.111
1977 Oct,42.111
1977 Nov,42.117
1977 Dec,42.124
1978 Jan,42.142
1978 Feb,42.142
1978 Mar,42.142
1978 Apr,41.907
1978 May,41.904
1978 Jun,41.904
1978 Jul,41.904
1978 Aug,41.905
1978 Sep,41.919
1978 Oct,41.92
1978 Nov,42.047
1978 Dec,42.137
1979 Jan,42.145
1979 Feb,42.145
1979 Mar,42.145
1979 Apr,42.15
1979 May,43.115
1979 Jun,43.153
1979 Jul,44.067
1979 Aug,45.812
1979 Sep,46.111
1979 Oct,46.138
1979 Nov,46.308
1979 Dec,46.322
1980 Jan,46.413
1980 Feb,46.517
1980 Mar,50.105
1980 Apr,50.306
1980 May,50.368
1980 Jun,50.469
1980 Jul,50.531
1980 Aug,51.391
1980 Sep,51.388
1980 Oct,51.389
1980 Nov,51.498
1980 Dec,51.497
1981 Jan,51.543
1981 Feb,51.581
1981 Mar,51.64
1981 Apr,51.64
1981 May,51.743
1981 Jun,51.738
1981 Jul,53.296
1981 Aug,53.295
1981 Sep,54.163
1981 Oct,54.162
1981 Nov,54.341
1981 Dec,54.341
1982 Jan,54.34
1982 Feb,54.339
1982 Mar,54.281
1982 Apr,54.272
1982 May,54.621
1982 Jun,54.622
1982 Jul,54.706
1982 Aug,54.964
1982 Sep,54.966
1982 Oct,54.967
1982 Nov,55.406
1982 Dec,55.412
1983 Jan,55.355
1983 Feb,55.404
1983 Mar,55.728
1983 Apr,55.705
1983 May,54.702
1983 Jun,54.799
1983 Jul,54.971
1983 Aug,55.025
1983 Sep,55.024
1983 Oct,55.023
1983 Nov,54.923
1983 Dec,55.77
1984 Jan,55.794
1984 Feb,55.799
1984 Mar,55.851
1984 Apr,55.896
1984 May,55.893
1984 Jun,55.899
1984 Jul,58.107
1984 Aug,58.107
1984 Sep,58.074
1984 Oct,58.742
1984 Nov,58.743
1984 Dec,58.743
