financial_year,town_or_estate,flat_type,sold_or_rental,no_of_dwelling_units
2008,Ang Mo Kio,1-room,Rental Units,1318
2008,Ang Mo Kio,1-room,Sold Units,0
2008,Ang Mo Kio,2-room,Rental Units,2860
2008,Ang Mo Kio,2-room,Sold Units,633
2008,Ang Mo Kio,3-room,Rental Units,62
2008,Ang Mo Kio,3-room,Sold Units,24437
2008,Ang Mo Kio,4-room,Rental Units,3
2008,Ang Mo Kio,4-room,Sold Units,13023
2008,Ang Mo Kio,5-room,Rental Units,0
2008,Ang Mo Kio,5-room,Sold Units,5252
2008,Ang Mo Kio,Executive,Sold Units,481
2008,Ang Mo Kio,Studio Apartment,Rental Units,0
2008,Ang Mo Kio,Studio Apartment,Sold Units,0
2008,Ang Mo Kio,HUDC,Sold Units,0
2008,Bedok,1-room,Rental Units,2250
2008,Bedok,1-room,Sold Units,0
2008,Bedok,2-room,Rental Units,1155
2008,Bedok,2-room,Sold Units,670
2008,Bedok,3-room,Rental Units,28
2008,Bedok,3-room,Sold Units,22555
2008,Bedok,4-room,Rental Units,0
2008,Bedok,4-room,Sold Units,20247
2008,Bedok,5-room,Rental Units,0
2008,Bedok,5-room,Sold Units,10182
2008,Bedok,Executive,Sold Units,2712
2008,Bedok,Studio Apartment,Rental Units,0
2008,Bedok,Studio Apartment,Sold Units,130
2008,Bedok,HUDC,Sold Units,0
2008,Bishan,1-room,Rental Units,396
2008,Bishan,1-room,Sold Units,0
2008,Bishan,2-room,Rental Units,0
2008,Bishan,2-room,Sold Units,0
2008,Bishan,3-room,Rental Units,0
2008,Bishan,3-room,Sold Units,2359
2008,Bishan,4-room,Rental Units,0
2008,Bishan,4-room,Sold Units,9199
2008,Bishan,5-room,Rental Units,0
2008,Bishan,5-room,Sold Units,5395
2008,Bishan,Executive,Sold Units,1660
2008,Bishan,Studio Apartment,Rental Units,0
2008,Bishan,Studio Apartment,Sold Units,0
2008,Bishan,HUDC,Sold Units,358
2008,Bukit Batok,1-room,Rental Units,20
2008,Bukit Batok,1-room,Sold Units,0
2008,Bukit Batok,2-room,Rental Units,20
2008,Bukit Batok,2-room,Sold Units,0
2008,Bukit Batok,3-room,Rental Units,6
2008,Bukit Batok,3-room,Sold Units,10271
2008,Bukit Batok,4-room,Rental Units,0
2008,Bukit Batok,4-room,Sold Units,13850
2008,Bukit Batok,5-room,Rental Units,0
2008,Bukit Batok,5-room,Sold Units,4832
2008,Bukit Batok,Executive,Sold Units,2732
2008,Bukit Batok,Studio Apartment,Rental Units,0
2008,Bukit Batok,Studio Apartment,Sold Units,0
2008,Bukit Batok,HUDC,Sold Units,0
2008,Bukit Merah,1-room,Rental Units,4473
2008,Bukit Merah,1-room,Sold Units,258
2008,Bukit Merah,2-room,Rental Units,4980
2008,Bukit Merah,2-room,Sold Units,1018
2008,Bukit Merah,3-room,Rental Units,198
2008,Bukit Merah,3-room,Sold Units,16038
2008,Bukit Merah,4-room,Rental Units,96
2008,Bukit Merah,4-room,Sold Units,13832
2008,Bukit Merah,5-room,Rental Units,0
2008,Bukit Merah,5-room,Sold Units,9098
2008,Bukit Merah,Executive,Sold Units,44
2008,Bukit Merah,Studio Apartment,Rental Units,0
2008,Bukit Merah,Studio Apartment,Sold Units,212
2008,Bukit Merah,HUDC,Sold Units,0
2008,Bukit Panjang,1-room,Rental Units,0
2008,Bukit Panjang,1-room,Sold Units,0
2008,Bukit Panjang,2-room,Rental Units,0
2008,Bukit Panjang,2-room,Sold Units,0
2008,Bukit Panjang,3-room,Rental Units,0
2008,Bukit Panjang,3-room,Sold Units,2620
2008,Bukit Panjang,4-room,Rental Units,0
2008,Bukit Panjang,4-room,Sold Units,13980
2008,Bukit Panjang,5-room,Rental Units,0
2008,Bukit Panjang,5-room,Sold Units,9517
2008,Bukit Panjang,Executive,Sold Units,3381
2008,Bukit Panjang,Studio Apartment,Rental Units,0
2008,Bukit Panjang,Studio Apartment,Sold Units,0
2008,Bukit Panjang,HUDC,Sold Units,0
2008,Bukit Timah,1-room,Rental Units,0
2008,Bukit Timah,1-room,Sold Units,0
2008,Bukit Timah,2-room,Rental Units,0
2008,Bukit Timah,2-room,Sold Units,0
2008,Bukit Timah,3-room,Rental Units,0
2008,Bukit Timah,3-room,Sold Units,441
2008,Bukit Timah,4-room,Rental Units,0
2008,Bukit Timah,4-room,Sold Units,920
2008,Bukit Timah,5-room,Rental Units,0
2008,Bukit Timah,5-room,Sold Units,682
2008,Bukit Timah,Executive,Sold Units,380
2008,Bukit Timah,Studio Apartment,Rental Units,0
2008,Bukit Timah,Studio Apartment,Sold Units,0
2008,Bukit Timah,HUDC,Sold Units,0
2008,Central Area,1-room,Rental Units,2073
2008,Central Area,1-room,Sold Units,0
2008,Central Area,2-room,Rental Units,975
2008,Central Area,2-room,Sold Units,341
2008,Central Area,3-room,Rental Units,53
2008,Central Area,3-room,Sold Units,4695
2008,Central Area,4-room,Rental Units,14
2008,Central Area,4-room,Sold Units,2282
2008,Central Area,5-room,Rental Units,0
2008,Central Area,5-room,Sold Units,284
2008,Central Area,Executive,Sold Units,9
2008,Central Area,Studio Apartment,Rental Units,0
2008,Central Area,Studio Apartment,Sold Units,0
2008,Central Area,HUDC,Sold Units,38
2008,Choa Chu Kang,1-room,Rental Units,0
2008,Choa Chu Kang,1-room,Sold Units,0
2008,Choa Chu Kang,2-room,Rental Units,240
2008,Choa Chu Kang,2-room,Sold Units,0
2008,Choa Chu Kang,3-room,Rental Units,0
2008,Choa Chu Kang,3-room,Sold Units,1312
2008,Choa Chu Kang,4-room,Rental Units,0
2008,Choa Chu Kang,4-room,Sold Units,19437
2008,Choa Chu Kang,5-room,Rental Units,0
2008,Choa Chu Kang,5-room,Sold Units,13422
2008,Choa Chu Kang,Executive,Sold Units,4762
2008,Choa Chu Kang,Studio Apartment,Rental Units,0
2008,Choa Chu Kang,Studio Apartment,Sold Units,0
2008,Choa Chu Kang,HUDC,Sold Units,0
2008,Clementi,1-room,Rental Units,454
2008,Clementi,1-room,Sold Units,0
2008,Clementi,2-room,Rental Units,479
2008,Clementi,2-room,Sold Units,41
2008,Clementi,3-room,Rental Units,63
2008,Clementi,3-room,Sold Units,12128
2008,Clementi,4-room,Rental Units,0
2008,Clementi,4-room,Sold Units,7677
2008,Clementi,5-room,Rental Units,0
2008,Clementi,5-room,Sold Units,2408
2008,Clementi,Executive,Sold Units,623
2008,Clementi,Studio Apartment,Rental Units,0
2008,Clementi,Studio Apartment,Sold Units,0
2008,Clementi,HUDC,Sold Units,0
2008,Geylang,1-room,Rental Units,1044
2008,Geylang,1-room,Sold Units,0
2008,Geylang,2-room,Rental Units,2401
2008,Geylang,2-room,Sold Units,750
