flat,school,school_dist,num_school_2km,hawker,hawker_dist,num_hawker_2km,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,dist_dhoby
754 WOODLANDS CIRCLE,Evergreen Primary School,0.1435800290780519,10,Blks 20/21 Marsiling Lane,1.867462188000044,4,1.326709022475615,3,Woodlands Mart,0.4727901766763035,4,ADMIRALTY MRT STATION,0.9431179568029788,4,0.4303662833493178,14,17.123778137941283
481 SEMBAWANG DR,Canberra Primary School,0.2328771174457647,7,Chong Pang Market & Food Centre,2.7532916098199336,0,1.6226525222138977,1,Sun Plaza,0.7156259998018238,2,SEMBAWANG MRT STATION,0.7018700415095784,1,0.2690655137467858,14,17.320853541586107
506 BEDOK NTH AVE 3,Red Swastika School,0.1662103103667571,8,Market Street Food Centre,0.3600957246931834,8,1.0872904201915363,19,Djitsun Mall,0.8143688906532116,5,BEDOK RESERVOIR MRT STATION,0.5216245226488255,5,0.2961357235505707,21,10.4903119733089
688B CHOA CHU KANG DR,Unity Primary School,0.3782004429839586,4,Blks 20/21 Marsiling Lane,5.326198016282951,0,1.54019485974397,3,Yew Tee Square,0.6971436510117589,3,YEW TEE MRT STATION,0.7282507849880482,1,0.7980569669728865,6,15.627695353139885
674 CHOA CHU KANG CRES,Unity Primary School,0.1403888412676283,4,Blks 20/21 Marsiling Lane,5.709490369048455,0,1.38207056895788,2,Yew Tee Square,0.3878515496174015,4,YEW TEE MRT STATION,0.4470209868129167,3,0.4726457328223875,7,15.731369994800666
306 SERANGOON AVE 2,CHIJ Our Lady of Good Counsel,0.5107211804918897,9,Serangoon Garden Market,0.9938700559441608,3,0.3455204678344263,19,NEX,0.6752621158527398,2,LORONG CHUAN MRT STATION,0.4161107948254014,6,0.4415854695116763,11,6.5253319325950585
673 HOUGANG AVE 8,Xinmin Primary School,0.2337916405933093,12,Market Street Food Centre,1.4904986645510658,2,0.6613050443641688,14,Hougang 1,0.6925318083515012,6,HOUGANG MRT STATION,0.8492890220219238,6,0.1587810430276946,18,9.214307844018414
525C PASIR RIS ST 51,Elias Park Primary School,0.6073925305399289,9,Market Street Food Centre,2.692004136413801,0,0.5805916589911196,6,White Sands,0.3715574110293297,7,PASIR RIS MRT STATION,0.3887360124682115,4,0.0604885194959547,16,13.795403882136075
120 PENDING RD,Zhenghua Primary School,0.3053517550365937,8,Bukit Timah Market,4.205979147100627,0,0.5039669096864563,10,Bukit Panjang Plaza,0.6524530111451267,7,PENDING LRT STATION,0.2286399303521136,14,0.3442722523057561,13,12.047560193920644
372 BT BATOK ST 31,Dazhong Primary School,0.3423985282607016,5,Market Street Food Centre,2.2402959425774944,0,0.5594727485002626,10,West Mall,0.9688795175104324,3,BUKIT GOMBAK MRT STATION,0.0788711282130868,4,0.0951544893332295,13,12.356686749107922
108 JLN BT MERAH,Radin Mas Primary School,0.4913611791181544,8,Blk 112 Jalan Bukit Merah,0.1076129735170469,8,0.7185595915981011,8,Tiong Bahru Plaza,0.8242441134680706,6,TIONG BAHRU MRT STATION,0.7908580689322627,7,0.3779251676040243,19,3.132242658889281
402 FAJAR RD,Zhenghua Primary School,0.1344931010953551,8,Bukit Timah Market,4.588219868504073,0,0.8920170862332989,10,Bukit Panjang Plaza,0.420335225858906,7,PETIR LRT STATION,0.322522387763303,14,0.4047979837646118,12,12.412279676893466
142 PETIR RD,Bukit Panjang Primary School,0.3586851261755694,8,Bukit Timah Market,4.167702502219348,0,0.4911685317879519,12,Bukit Panjang Plaza,0.5585985078277491,7,PETIR LRT STATION,0.2028336604887064,14,0.5265997114471707,13,12.115883306828858
145 RIVERVALE DR,North Spring Primary School,0.3870381756039159,17,Market Street Food Centre,4.069296729075314,0,0.3232400622637338,3,Rivervale Mall,0.3118127916175832,6,RUMBIA LRT STATION,0.1738850953742732,20,0.3377319839112372,16,12.087470627088994
914 TAMPINES ST 91,Junyuan Primary School,0.1259415425303831,11,Market Street Food Centre,0.6638210191255957,2,1.257041958578601,6,Our Tampines Hub,0.4724147369641839,5,TAMPINES WEST MRT STATION,0.4092972820334339,6,0.5186047226969865,16,11.845847149705877
102 HENDERSON CRES,Alexandra Primary School,0.2825599960211029,8,Blk 115 Bukit Merah View,0.5401073243886182,8,0.4083500757776713,6,Tiong Bahru Plaza,0.7558485680920202,10,REDHILL MRT STATION,0.5367284282534077,4,0.4996187390773303,22,2.8176573523297006
560 ANG MO KIO AVE 10,Jing Shan Primary School,0.8300159457750471,8,Blk 409 Ang Mo Kio Ave 10,0.9862819432871834,4,0.6894678057319289,26,AMK Hub,1.202767447506638,2,ANG MO KIO MRT STATION,1.0771168302898062,2,0.6139837832421954,12,8.057072753462643
229 LOR 8 TOA PAYOH,First Toa Payoh Primary School,0.4404994795348422,10,Blk 210 Toa Payoh Lorong 8,0.5087036901074141,3,0.6137403878147151,11,HDB Hub,1.5296305256938705,4,WOODLEIGH MRT STATION,1.2935104371916128,8,0.4081950090103576,18,4.62456949726359
458 ANG MO KIO AVE 10,Townsville Primary School,0.9151662286479706,8,Blk 409 Ang Mo Kio Ave 10,0.6331807402220496,4,0.7541244958383618,19,AMK Hub,1.2793400928888183,2,ANG MO KIO MRT STATION,1.1811743574823803,2,0.6256493296373447,14,7.606621489505114
124 GEYLANG EAST AVE 1,Geylang Methodist School (Primary),0.3219490116973653,6,Blk 117 Aljunied Ave 2,0.2647674291132912,10,0.3897898725759176,13,Paya Lebar Square,0.6545892249615837,4,ALJUNIED MRT STATION,0.4732889208884137,13,0.1939457670622774,28,5.0665883802727905
3A UPP BOON KENG RD,Bendemeer Primary School,1.212727063751015,6,North Bridge Road Market & Food Centre,1.2537886578563335,10,1.0733062923009862,11,Aperia,1.0261937005183388,5,KALLANG MRT STATION,0.2817697759007235,12,0.1310054046670101,27,3.416304607740601
35 DOVER RD,Fairfield Methodist School (Primary),0.3130254061483516,3,Blk 20 Ghim Moh Road,1.4092049993765834,3,0.813871913874645,15,Rochester Mall,0.8917215688443568,4,ONE-NORTH MRT STATION,0.4556085794644152,8,0.4626126413951508,12,6.884550949786077
