,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
0,754 WOODLANDS CIRCLE HDB-WOODLANDS SINGAPORE 731754,754,HDB-WOODLANDS,1.445289017,103.79392879999999,103.79392879999999,731754,WOODLANDS CIRCLE,HDB-WOODLANDS,23616.53149,47438.27207,754 WOODLANDS CIRCLE
0,481 SEMBAWANG DRIVE HDB-SEMBAWANG SINGAPORE 750481,481,HDB-SEMBAWANG,1.452976284,103.8150941,103.8150941,750481,SEMBAWANG DRIVE,HDB-SEMBAWANG,25971.91031,48288.26161,481 SEMBAWANG DR
0,506 BEDOK NORTH AVENUE 3 KAKI BUKIT VILLE SINGAPORE 460506,506,KAKI BUKIT VILLE,1.332142808,103.93372020000001,103.93372020000001,460506,BEDOK NORTH AVENUE 3,KAKI BUKIT VILLE,39173.66513,34927.32762,506 BEDOK NTH AVE 3
0,688B CHOA CHU KANG DRIVE HDB-CHOA CHU KANG SINGAPORE 682688,688B,HDB-CHOA CHU KANG,1.403435938,103.75033690000001,103.75033690000001,682688,CHOA CHU KANG DRIVE,HDB-CHOA CHU KANG,18765.272559999998,42810.49522,688B CHOA CHU KANG DR
0,674 CHOA CHU KANG CRESCENT HDB-CHOA CHU KANG SINGAPORE 680674,674,HDB-CHOA CHU KANG,1.401553764,103.7469941,103.7469941,680674,CHOA CHU KANG CRESCENT,HDB-CHOA CHU KANG,18393.24968,42602.38721,674 CHOA CHU KANG CRES
0,306A SERANGOON AVENUE 2 SINGAPORE 551306,306A,NIL,1.354351338,103.86673449999999,103.86673449999999,551306,SERANGOON AVENUE 2,306A SERANGOON AVENUE 2 SINGAPORE 551306,31718.808210000003,37382.8313,306 SERANGOON AVE 2
1,306 SERANGOON AVENUE 2 CHUAN VILLAGE SINGAPORE 550306,306,CHUAN VILLAGE,1.354170254,103.86688570000001,103.86688570000001,550306,SERANGOON AVENUE 2,CHUAN VILLAGE,31735.64032,37362.80818,306 SERANGOON AVE 2
2,306 SERANGOON AVENUE 2 MY FIRST SKOOL SINGAPORE 550306,306,MY FIRST SKOOL,1.354170246,103.86688570000001,103.86688570000001,550306,SERANGOON AVENUE 2,MY FIRST SKOOL,31735.6412,37362.807389999994,306 SERANGOON AVE 2
0,673 HOUGANG AVENUE 8 HDB-HOUGANG SINGAPORE 530673,673,HDB-HOUGANG,1.372519645,103.8848302,103.8848302,530673,HOUGANG AVENUE 8,HDB-HOUGANG,33732.60908,39391.826219999995,673 HOUGANG AVE 8
0,525C PASIR RIS STREET 51 COSTA RIS SINGAPORE 513525,525C,COSTA RIS,1.3699604909999998,103.94745209999999,103.94745209999999,513525,PASIR RIS STREET 51,COSTA RIS,40701.68781,39109.08875,525C PASIR RIS ST 51
0,120 PENDING ROAD HDB-BUKIT PANJANG SINGAPORE 670120,120,HDB-BUKIT PANJANG,1.3770546019999998,103.7694441,103.7694441,670120,PENDING ROAD,HDB-BUKIT PANJANG,20891.56046,39893.31226,120 PENDING RD
0,372 BUKIT BATOK STREET 31 HDB-BUKIT BATOK SINGAPORE 650372,372,HDB-BUKIT BATOK,1.358669167,103.7512137,103.7512137,650372,BUKIT BATOK STREET 31,HDB-BUKIT BATOK,18862.68068,37860.404539999996,372 BT BATOK ST 31
0,108 JALAN BUKIT MERAH HDB-BUKIT MERAH SINGAPORE 160108,108,HDB-BUKIT MERAH,1.279220088,103.82544140000002,103.82544140000002,160108,JALAN BUKIT MERAH,HDB-BUKIT MERAH,27123.3315,29075.1795,108 JLN BT MERAH
0,402 FAJAR ROAD HDB-BUKIT PANJANG SINGAPORE 670402,402,HDB-BUKIT PANJANG,1.3803122630000002,103.7680736,103.7680736,670402,FAJAR ROAD,HDB-BUKIT PANJANG,20739.0535,40253.532289999996,402 FAJAR RD
1,402 FAJAR ROAD THE SALVATION ARMY BUKIT PANJANG CHILD CARE CENTRE SINGAPORE 670402,402,THE SALVATION ARMY BUKIT PANJANG CHILD CARE CENTRE,1.380312255,103.7680736,103.7680736,670402,FAJAR ROAD,THE SALVATION ARMY BUKIT PANJANG CHILD CARE CENTRE,20739.05359,40253.53141,402 FAJAR RD
0,142 PETIR ROAD HDB-BUKIT PANJANG SINGAPORE 670142,142,HDB-BUKIT PANJANG,1.376391724,103.7679128,103.7679128,670142,PETIR ROAD,HDB-BUKIT PANJANG,20721.14974,39820.01925,142 PETIR RD
0,145 RIVERVALE DRIVE RIVERVALE PLACE SINGAPORE 540145,145,RIVERVALE PLACE,1.389900449,103.9060703,103.9060703,540145,RIVERVALE DRIVE,RIVERVALE PLACE,36096.323730000004,41313.77018,145 RIVERVALE DR
1,145 RIVERVALE DRIVE LICDO @ RIVERVALE PRESCHOOL TEAM PTE. LTD. SINGAPORE 540145,145,LICDO @ RIVERVALE PRESCHOOL TEAM PTE. LTD.,1.389900441,103.9060703,103.9060703,540145,RIVERVALE DRIVE,LICDO @ RIVERVALE PRESCHOOL TEAM PTE. LTD.,36096.32479,41313.7693,145 RIVERVALE DR
0,914 TAMPINES STREET 91 TAMPINES PALMSVILLE SINGAPORE 520914,914,TAMPINES PALMSVILLE,1.349027771,103.9395684,103.9395684,520914,TAMPINES STREET 91,TAMPINES PALMSVILLE,39824.425839999996,36794.41089,914 TAMPINES ST 91
0,102 HENDERSON CRESCENT HDB-BUKIT MERAH SINGAPORE 150102,102,HDB-BUKIT MERAH,1.290366187,103.8215771,103.8215771,150102,HENDERSON CRESCENT,HDB-BUKIT MERAH,26693.272,30307.6592,102 HENDERSON CRES
0,560 ANG MO KIO AVENUE 10 HDB-ANG MO KIO SINGAPORE 560560,560,HDB-ANG MO KIO,1.3708162680000002,103.85919229999999,103.85919229999999,560560,ANG MO KIO AVENUE 10,HDB-ANG MO KIO,30879.43458,39203.4293,560 ANG MO KIO AVE 10
