address,LATITUDE,LONGITUDE
754 WOODLANDS CIRCLE,1.445289017,103.7939288
481 SEMBAWANG DR,1.452976284,103.8150941
506 BEDOK NTH AVE 3,1.332142808,103.9337202
688B CHOA CHU KANG DR,1.403435938,103.7503369
674 CHOA CHU KANG CRES,1.401553764,103.7469941
306 SERANGOON AVE 2,1.354351338,103.8667345
306 SERANGOON AVE 2,1.354170254,103.8668857
306 SERANGOON AVE 2,1.354170246,103.8668857
673 HOUGANG AVE 8,1.372519645,103.8848302
525C PASIR RIS ST 51,1.3699604909999998,103.9474521
120 PENDING RD,1.3770546019999998,103.7694441
372 BT BATOK ST 31,1.358669167,103.7512137
108 JLN BT MERAH,1.279220088,103.82544140000002
402 FAJAR RD,1.3803122630000002,103.7680736
402 FAJAR RD,1.380312255,103.7680736
142 PETIR RD,1.376391724,103.7679128
145 RIVERVALE DR,1.389900449,103.9060703
145 RIVERVALE DR,1.389900441,103.9060703
914 TAMPINES ST 91,1.349027771,103.9395684
102 HENDERSON CRES,1.290366187,103.8215771
560 ANG MO KIO AVE 10,1.3708162680000002,103.8591923
229 LOR 8 TOA PAYOH,1.338718312,103.8591946
458 ANG MO KIO AVE 10,1.366568152,103.8596268
124 GEYLANG EAST AVE 1,1.318388638,103.8866757
3A UPP BOON KENG RD,1.313828129,103.8723808
35 DOVER RD,1.299123981,103.7834245
338 TAMPINES ST 33,1.351918352,103.9596468
338 TAMPINES ST 33,1.351918352,103.9596468
338 TAMPINES ST 33,1.3519183419999998,103.9596468
336 CLEMENTI AVE 2,1.316679432,103.7692312
42 CHAI CHEE ST,1.327978774,103.9258048
110B PUNGGOL FIELD,1.395660239,103.909627
772 PASIR RIS ST 71,1.375375847,103.9369737
756 PASIR RIS ST 71,1.37781592,103.9333326
203 BISHAN ST 23,1.3545367419999998,103.847452
647 JURONG WEST ST 61,1.340111291,103.6973881
494E TAMPINES ST 43,1.364215315,103.9535112
274B JURONG WEST ST 25,1.3528655530000002,103.7032805
439A SENGKANG WEST AVE,1.391875231,103.8778554
107 TECK WHYE LANE,1.378055381,103.7535882
88 C'WEALTH CL,1.304886344,103.7991816
24 TANGLIN HALT RD,1.297677087,103.7996368
631 SENJA RD,1.386626587,103.7602577
631 SENJA RD,1.386478067,103.7602565
91 TANGLIN HALT RD,1.300727923,103.7994173
629 SENJA RD,1.386528024,103.759279
450D TAMPINES ST 42,1.357135364,103.9528738
90 BEDOK NTH ST 4,1.332149272,103.9404499
677C JURONG WEST ST 64,1.345352692,103.70496
284 TAMPINES ST 22,1.349103845,103.9526282
284 TAMPINES ST 22,1.349103845,103.9526282
3B UPP BOON KENG RD,1.314298734,103.8728282
311 SERANGOON AVE 2,1.353762881,103.8663265
103 PASIR RIS ST 12,1.367695081,103.9584042
617 JURONG WEST ST 65,1.340878429,103.7000939
617 JURONG WEST ST 65,1.34092565,103.7005614
617 JURONG WEST ST 65,1.340707154,103.7004697
207 TOA PAYOH NTH,1.34240197,103.8452265
207 TOA PAYOH NTH,1.342382311,103.8455981
642 YISHUN ST 61,1.420970055,103.8374468
195D PUNGGOL RD,1.401367945,103.907096
136 SERANGOON NTH AVE 2,1.3681015980000002,103.8749878
448B SENGKANG WEST WAY,1.3934198169999998,103.8733199
420 TAMPINES ST 41,1.357864662,103.9475346
416 HOUGANG AVE 10,1.375685703,103.8962838
474 ANG MO KIO AVE 10,1.362757847,103.8580153
126 SERANGOON NTH AVE 1,1.366058217,103.8718749
33 CHAI CHEE AVE,1.324009118,103.9258481
511 WOODLANDS DR 14,1.433452957,103.788654
337 TAMPINES ST 32,1.35238866,103.9598771
490D CHOA CHU KANG AVE 5,1.3760286919999998,103.7413682
441A FERNVALE RD,1.391097836,103.8751662
134 RIVERVALE ST,1.3878646769999998,103.9046729
613A PUNGGOL DR,1.40442052,103.907861
352A CANBERRA RD,1.450655082,103.8196509
620 ANG MO KIO AVE 9,1.382440829,103.8395464
704 ANG MO KIO AVE 8,1.370407121,103.8472307
674A JURONG WEST ST 65,1.3444613369999998,103.7023153
393 YISHUN AVE 6,1.42851535,103.8485037
58 C'WEALTH DR,1.297769693,103.7970901
689C WOODLANDS DR 75,1.444812046,103.8084061
53 HAVELOCK RD,1.289336654,103.8289203
67 KALLANG BAHRU,1.3213944640000002,103.8693362
