flat,hawker,hawker_dist,num_hawker_2km
754 WOODLANDS CIRCLE,Blks 20/21 Marsiling Lane,1.867462188000044,4
481 SEMBAWANG DR,Chong Pang Market & Food Centre,2.7532916098199336,0
506 BEDOK NTH AVE 3,Market Street Food Centre,0.3600957246931834,8
688B CHOA CHU KANG DR,Blks 20/21 Marsiling Lane,5.326198016282951,0
674 CHOA CHU KANG CRES,Blks 20/21 Marsiling Lane,5.709490369048455,0
306 SERANGOON AVE 2,Serangoon Garden Market,0.9938700559441609,3
673 HOUGANG AVE 8,Market Street Food Centre,1.4904986645510658,2
525C PASIR RIS ST 51,Market Street Food Centre,2.692004136413801,0
120 PENDING RD,Bukit Timah Market,4.205979147100627,0
372 BT BATOK ST 31,Market Street Food Centre,2.2402959425774944,0
108 JLN BT MERAH,Blk 112 Jalan Bukit Merah,0.1076129735170469,8
402 FAJAR RD,Bukit Timah Market,4.588219868504073,0
142 PETIR RD,Bukit Timah Market,4.167702502219348,0
145 RIVERVALE DR,Market Street Food Centre,4.069296729075314,0
914 TAMPINES ST 91,Market Street Food Centre,0.6638210191255957,2
102 HENDERSON CRES,Blk 115 Bukit Merah View,0.5401073243886182,8
560 ANG MO KIO AVE 10,Blk 409 Ang Mo Kio Ave 10,0.9862819432871834,4
229 LOR 8 TOA PAYOH,Blk 210 Toa Payoh Lorong 8,0.5087036901074141,3
458 ANG MO KIO AVE 10,Blk 409 Ang Mo Kio Ave 10,0.6331807402220496,4
124 GEYLANG EAST AVE 1,Blk 117 Aljunied Ave 2,0.2647674291132912,10
3A UPP BOON KENG RD,North Bridge Road Market & Food Centre,1.2537886578563335,10
35 DOVER RD,Blk 20 Ghim Moh Road,1.4092049993765834,3
338 TAMPINES ST 33,Market Street Food Centre,1.8077627942713064,1
336 CLEMENTI AVE 2,Blk 353 Clementi Ave 2,0.3162298850187282,3
42 CHAI CHEE ST,Blk 538 Bedok North Street 3,0.42976376197820304,7
110B PUNGGOL FIELD,Market Street Food Centre,4.818994562136818,0
772 PASIR RIS ST 71,Market Street Food Centre,3.3798578602388525,0
756 PASIR RIS ST 71,Market Street Food Centre,3.756704805475763,0
203 BISHAN ST 23,Blk 320 Shunfu Road,1.192887593189645,5
647 JURONG WEST ST 61,Blk 505 Jurong West Street 52,2.5697319103953578,0
494E TAMPINES ST 43,Market Street Food Centre,2.2668497929539577,0
274B JURONG WEST ST 25,Blk 505 Jurong West Street 52,1.725134813149704,1
439A SENGKANG WEST AVE,Chomp Chomp Food Centre,3.305468671372877,0
107 TECK WHYE LANE,Market Street Food Centre,4.201579343648265,0
88 C'WEALTH CL,Commonwealth Crescent Market,0.26735780359074846,4
24 TANGLIN HALT RD,Tanglin Halt Market,0.3834296941326372,6
631 SENJA RD,Market Street Food Centre,5.365128486802046,0
91 TANGLIN HALT RD,Tanglin Halt Market,0.18989206384503102,6
629 SENJA RD,Market Street Food Centre,5.3203808595237,0
450D TAMPINES ST 42,Market Street Food Centre,1.5572391553759408,1
90 BEDOK NTH ST 4,Blk 58 New Upper Changi Road,0.8917141290539266,8
677C JURONG WEST ST 64,Blk 505 Jurong West Street 52,1.574169967132066,1
284 TAMPINES ST 22,Market Street Food Centre,0.9669777464558691,1
3B UPP BOON KENG RD,North Bridge Road Market & Food Centre,1.3256769081464257,10
311 SERANGOON AVE 2,Serangoon Garden Market,1.0397840574080108,4
