flat,mall,mall_dist,num_mall_2km
754 WOODLANDS CIRCLE,Woodlands Mart,0.4727901766763035,4
481 SEMBAWANG DR,Sun Plaza,0.7156259998018238,2
506 BEDOK NTH AVE 3,Djitsun Mall,0.8143688906532116,5
688B CHOA CHU KANG DR,Yew Tee Square,0.6971436510117589,3
674 CHOA CHU KANG CRES,Yew Tee Square,0.38785154961740154,4
306 SERANGOON AVE 2,NEX,0.6752621158527398,2
673 HOUGANG AVE 8,Hougang 1,0.6925318083515012,6
525C PASIR RIS ST 51,White Sands,0.37155741102932976,7
120 PENDING RD,Bukit Panjang Plaza,0.6524530111451267,7
372 BT BATOK ST 31,West Mall,0.9688795175104323,3
108 JLN BT MERAH,Tiong Bahru Plaza,0.8242441134680706,6
402 FAJAR RD,Bukit Panjang Plaza,0.420335225858906,7
142 PETIR RD,Bukit Panjang Plaza,0.5585985078277491,7
145 RIVERVALE DR,Rivervale Mall,0.3118127916175832,6
914 TAMPINES ST 91,Our Tampines Hub,0.47241473696418396,5
102 HENDERSON CRES,Tiong Bahru Plaza,0.7558485680920202,10
560 ANG MO KIO AVE 10,AMK Hub,1.2027674475066379,2
229 LOR 8 TOA PAYOH,HDB Hub,1.5296305256938703,4
458 ANG MO KIO AVE 10,AMK Hub,1.2793400928888183,2
124 GEYLANG EAST AVE 1,Paya Lebar Square,0.6545892249615837,4
3A UPP BOON KENG RD,Aperia,1.0261937005183388,5
35 DOVER RD,Rochester Mall,0.8917215688443568,4
338 TAMPINES ST 33,Eastpoint Mall,1.2649519189342804,5
336 CLEMENTI AVE 2,Grantral Mall,0.5337657559872585,5
42 CHAI CHEE ST,Djitsun Mall,0.47345724209505646,4
110B PUNGGOL FIELD,Punggol Plaza,0.406915449091265,6
772 PASIR RIS ST 71,Elias Mall,0.6605293830040395,3
756 PASIR RIS ST 71,Elias Mall,0.9669645509093958,2
203 BISHAN ST 23,Junction 8,0.4947069842794273,4
647 JURONG WEST ST 61,Pioneer Mall,0.1686756543369517,4
494E TAMPINES ST 43,White Sands,0.9970653692413649,7
274B JURONG WEST ST 25,Gek Poh Shopping Centre,0.717681178262131,4
439A SENGKANG WEST AVE,The Seletar Mall,0.20596774983507996,6
107 TECK WHYE LANE,Teck Whye Shopping Centre,0.25331646724812346,10
88 C'WEALTH CL,Rochester Mall,1.196085504583567,4
24 TANGLIN HALT RD,Anchorpoint,1.1730542061839164,5
