flat,mrt,mrt_dist,num_mrt_2km
754 WOODLANDS CIRCLE,ADMIRALTY MRT STATION,0.9431179568029787,4
481 SEMBAWANG DR,SEMBAWANG MRT STATION,0.7018700415095784,1
506 BEDOK NTH AVE 3,BEDOK RESERVOIR MRT STATION,0.5216245226488255,5
688B CHOA CHU KANG DR,YEW TEE MRT STATION,0.7282507849880482,1
674 CHOA CHU KANG CRES,YEW TEE MRT STATION,0.4470209868129167,3
306 SERANGOON AVE 2,LORONG CHUAN MRT STATION,0.4161107948254014,6
673 HOUGANG AVE 8,HOUGANG MRT STATION,0.8492890220219238,6
525C PASIR RIS ST 51,PASIR RIS MRT STATION,0.3887360124682115,4
120 PENDING RD,PENDING LRT STATION,0.22863993035211364,14
372 BT BATOK ST 31,BUKIT GOMBAK MRT STATION,0.07887112821308681,4
108 JLN BT MERAH,TIONG BAHRU MRT STATION,0.7908580689322627,7
402 FAJAR RD,PETIR LRT STATION,0.322522387763303,14
142 PETIR RD,PETIR LRT STATION,0.2028336604887064,14
145 RIVERVALE DR,RUMBIA LRT STATION,0.1738850953742732,20
914 TAMPINES ST 91,TAMPINES WEST MRT STATION,0.40929728203343396,6
102 HENDERSON CRES,REDHILL MRT STATION,0.5367284282534077,4
560 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,1.0771168302898062,2
229 LOR 8 TOA PAYOH,WOODLEIGH MRT STATION,1.2935104371916128,8
458 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,1.1811743574823803,2
124 GEYLANG EAST AVE 1,ALJUNIED MRT STATION,0.47328892088841373,13
3A UPP BOON KENG RD,KALLANG MRT STATION,0.28176977590072355,12
35 DOVER RD,ONE-NORTH MRT STATION,0.4556085794644152,8
338 TAMPINES ST 33,TAMPINES EAST MRT STATION,0.7339264412978131,7
336 CLEMENTI AVE 2,CLEMENTI MRT STATION,0.4755602901556776,2
42 CHAI CHEE ST,BEDOK MRT STATION,0.6397040449889121,4
110B PUNGGOL FIELD,MERIDIAN LRT STATION,0.15879631998679122,21
772 PASIR RIS ST 71,PASIR RIS MRT STATION,1.3899093933347069,1
756 PASIR RIS ST 71,PASIR RIS MRT STATION,1.8486195082353112,1
203 BISHAN ST 23,BISHAN MRT STATION,0.40387744979382567,6
647 JURONG WEST ST 61,PIONEER MRT STATION,0.27915553316440905,2
494E TAMPINES ST 43,TAMPINES EAST MRT STATION,0.8954779586396218,4
274B JURONG WEST ST 25,BOON LAY MRT STATION,1.607865024410637,2
439A SENGKANG WEST AVE,FERNVALE LRT STATION,0.1735558663198764,11
107 TECK WHYE LANE,TECK WHYE LRT STATION,0.15244557660565278,14
88 C'WEALTH CL,COMMONWEALTH MRT STATION,0.2873670581317929,7
24 TANGLIN HALT RD,COMMONWEALTH MRT STATION,0.5467241754614743,7
631 SENJA RD,JELAPANG LRT STATION,0.4755131686614452,18
91 TANGLIN HALT RD,COMMONWEALTH MRT STATION,0.22555265286248904,7
629 SENJA RD,SENJA LRT STATION,0.5473513387891592,18
450D TAMPINES ST 42,TAMPINES EAST MRT STATION,0.21867596205790632,6
90 BEDOK NTH ST 4,TANAH MERAH MRT STATION,0.8528002833712442,5
677C JURONG WEST ST 64,BOON LAY MRT STATION,0.756926671826243,3
284 TAMPINES ST 22,SIMEI MRT STATION,0.6572704040723071,8
3B UPP BOON KENG RD,KALLANG MRT STATION,0.3501857973822122,12
311 SERANGOON AVE 2,LORONG CHUAN MRT STATION,0.33997433401832516,6
103 PASIR RIS ST 12,PASIR RIS MRT STATION,1.176133960947511,2
617 JURONG WEST ST 65,PIONEER MRT STATION,0.48879242432615133,2
207 TOA PAYOH NTH,BRADDELL MRT STATION,0.24970576107722492,7
642 YISHUN ST 61,KHATIB MRT STATION,0.6359154583695701,2
195D PUNGGOL RD,COVE LRT STATION,0.26408934996669226,23
136 SERANGOON NTH AVE 2,KOVAN MRT STATION,1.4217766511920136,3
448B SENGKANG WEST WAY,FERNVALE LRT STATION,0.37209608107157593,6
420 TAMPINES ST 41,TAMPINES MRT STATION,0.5718100507292327,6
416 HOUGANG AVE 10,HOUGANG MRT STATION,0.65294278073041,9
474 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,1.2313793267667903,4
126 SERANGOON NTH AVE 1,KOVAN MRT STATION,1.603912405278453,4
33 CHAI CHEE AVE,BEDOK MRT STATION,0.4574799036547513,4
511 WOODLANDS DR 14,WOODLANDS MRT STATION,0.2996180549458524,5
337 TAMPINES ST 32,TAMPINES EAST MRT STATION,0.7222542802561908,7
490D CHOA CHU KANG AVE 5,SOUTH VIEW LRT STATION,0.6450081041739338,6
441A FERNVALE RD,FERNVALE LRT STATION,0.15296694783074838,7
134 RIVERVALE ST,BAKAU LRT STATION,0.08665810261983804,20
613A PUNGGOL DR,DAMAI LRT STATION,0.12052444255603506,22
352A CANBERRA RD,SEMBAWANG MRT STATION,0.18287736143947608,1
620 ANG MO KIO AVE 9,YIO CHU KANG MRT STATION,0.6054270633419963,2
704 ANG MO KIO AVE 8,ANG MO KIO MRT STATION,0.26375826777781713,2
674A JURONG WEST ST 65,BOON LAY MRT STATION,0.7725440516547126,2
393 YISHUN AVE 6,YISHUN MRT STATION,1.505758320059992,1
58 C'WEALTH DR,COMMONWEALTH MRT STATION,0.5339329450364415,7
689C WOODLANDS DR 75,ADMIRALTY MRT STATION,0.947669138277306,2
53 HAVELOCK RD,TIONG BAHRU MRT STATION,0.40679438014377717,10
67 KALLANG BAHRU,GEYLANG BAHRU MRT STATION,0.2845237762635272,10
63 NEW UPP CHANGI RD,TANAH MERAH MRT STATION,0.8032919743646993,3
24 TIONG BAHRU RD,TIONG BAHRU MRT STATION,0.4757427889446204,11
322 HOUGANG AVE 5,HOUGANG MRT STATION,0.6919741687834464,5
467A ADMIRALTY DR,SEMBAWANG MRT STATION,0.75574079819477,2
