flat,park_dist,num_park_2km
754 WOODLANDS CIRCLE,1.326709022475615,3
481 SEMBAWANG DR,1.6226525222138977,1
506 BEDOK NTH AVE 3,1.0872904201915363,19
688B CHOA CHU KANG DR,1.54019485974397,3
674 CHOA CHU KANG CRES,1.38207056895788,2
306 SERANGOON AVE 2,0.3455204678344263,19
673 HOUGANG AVE 8,0.6613050443641688,14
525C PASIR RIS ST 51,0.5805916589911196,6
120 PENDING RD,0.5039669096864563,10
372 BT BATOK ST 31,0.5594727485002626,10
108 JLN BT MERAH,0.7185595915981011,8
402 FAJAR RD,0.8920170862332989,10
142 PETIR RD,0.4911685317879519,12
145 RIVERVALE DR,0.3232400622637338,3
914 TAMPINES ST 91,1.257041958578601,6
102 HENDERSON CRES,0.40835007577767135,6
560 ANG MO KIO AVE 10,0.6894678057319289,26
229 LOR 8 TOA PAYOH,0.6137403878147151,11
458 ANG MO KIO AVE 10,0.7541244958383618,19
124 GEYLANG EAST AVE 1,0.3897898725759176,13
3A UPP BOON KENG RD,1.0733062923009862,11
35 DOVER RD,0.813871913874645,15
338 TAMPINES ST 33,0.648573335589196,13
336 CLEMENTI AVE 2,0.8400544999072191,21
42 CHAI CHEE ST,0.7800191126806021,18
110B PUNGGOL FIELD,0.7920950723388889,3
772 PASIR RIS ST 71,0.5782329053695558,6
756 PASIR RIS ST 71,1.0644470345173391,2
203 BISHAN ST 23,0.49680627897728835,18
647 JURONG WEST ST 61,0.577572224159132,4
494E TAMPINES ST 43,0.5375713637541683,9
274B JURONG WEST ST 25,0.2763151321296283,3
439A SENGKANG WEST AVE,0.7109359116493341,14
107 TECK WHYE LANE,0.47168769796064464,8
88 C'WEALTH CL,0.858218060398065,11
24 TANGLIN HALT RD,0.8158733390404508,8
631 SENJA RD,1.041310931899731,9
91 TANGLIN HALT RD,0.9733216526979972,7
629 SENJA RD,0.9371612779632791,8
450D TAMPINES ST 42,0.882483924318462,11
90 BEDOK NTH ST 4,0.39371544573691536,22
677C JURONG WEST ST 64,0.8326918041349634,6
284 TAMPINES ST 22,0.9208835018506887,10
3B UPP BOON KENG RD,1.1443673928241014,12
311 SERANGOON AVE 2,0.3208259917297052,18
103 PASIR RIS ST 12,0.8030538871788095,10
617 JURONG WEST ST 65,0.8762749254378912,5
207 TOA PAYOH NTH,0.732157160854605,14
642 YISHUN ST 61,0.6870139819345658,6
195D PUNGGOL RD,0.9296147916940296,3
136 SERANGOON NTH AVE 2,0.36185021424989333,23
448B SENGKANG WEST WAY,0.6236768291512051,23
420 TAMPINES ST 41,0.3732995548592242,6
416 HOUGANG AVE 10,0.2971773430500721,7
474 ANG MO KIO AVE 10,0.7378098785497863,15
126 SERANGOON NTH AVE 1,0.626459450211774,21
33 CHAI CHEE AVE,0.3820719759024179,19
511 WOODLANDS DR 14,1.1027793970595814,2
337 TAMPINES ST 32,0.6832984035381912,13
490D CHOA CHU KANG AVE 5,1.2510620815088431,4
441A FERNVALE RD,0.6393170950629574,18
134 RIVERVALE ST,0.4302802826563047,3
613A PUNGGOL DR,0.8023218385682233,4
352A CANBERRA RD,1.0948243490253882,4
620 ANG MO KIO AVE 9,0.30065255689734255,28
704 ANG MO KIO AVE 8,0.3404999677818,17
674A JURONG WEST ST 65,0.8205862302614993,6
393 YISHUN AVE 6,0.7997992617567534,3
58 C'WEALTH DR,0.56819613175561,8
689C WOODLANDS DR 75,1.9739592102369807,1
53 HAVELOCK RD,0.3568464528573401,14
67 KALLANG BAHRU,0.47215449082546895,10
63 NEW UPP CHANGI RD,0.5223506796748429,24
24 TIONG BAHRU RD,0.2529986222545347,16
