flat,school,school_dist,num_school_2km
754 WOODLANDS CIRCLE,Evergreen Primary School,0.14358002907805198,10
481 SEMBAWANG DR,Canberra Primary School,0.23287711744576478,7
506 BEDOK NTH AVE 3,Red Swastika School,0.1662103103667571,8
688B CHOA CHU KANG DR,Unity Primary School,0.37820044298395866,4
674 CHOA CHU KANG CRES,Unity Primary School,0.14038884126762838,4
306 SERANGOON AVE 2,CHIJ Our Lady of Good Counsel,0.5107211804918897,9
673 HOUGANG AVE 8,Xinmin Primary School,0.23379164059330934,12
525C PASIR RIS ST 51,Elias Park Primary School,0.6073925305399289,9
120 PENDING RD,Zhenghua Primary School,0.30535175503659373,8
372 BT BATOK ST 31,Dazhong Primary School,0.3423985282607016,5
108 JLN BT MERAH,Radin Mas Primary School,0.4913611791181544,8
402 FAJAR RD,Zhenghua Primary School,0.13449310109535512,8
142 PETIR RD,Bukit Panjang Primary School,0.35868512617556947,8
145 RIVERVALE DR,North Spring Primary School,0.3870381756039159,17
914 TAMPINES ST 91,Junyuan Primary School,0.12594154253038317,11
102 HENDERSON CRES,Alexandra Primary School,0.2825599960211029,8
560 ANG MO KIO AVE 10,Jing Shan Primary School,0.8300159457750471,8
229 LOR 8 TOA PAYOH,First Toa Payoh Primary School,0.4404994795348422,10
458 ANG MO KIO AVE 10,Townsville Primary School,0.9151662286479706,8
124 GEYLANG EAST AVE 1,Geylang Methodist School (Primary),0.3219490116973653,6
3A UPP BOON KENG RD,Bendemeer Primary School,1.212727063751015,6
35 DOVER RD,Fairfield Methodist School (Primary),0.3130254061483516,3
338 TAMPINES ST 33,East Spring Primary School,0.2695883664874176,9
336 CLEMENTI AVE 2,Pei Tong Primary School,0.19332111865782745,5
42 CHAI CHEE ST,Fengshan Primary School,0.7247326927495865,8
110B PUNGGOL FIELD,Mee Toh School,0.14739453792270654,13
772 PASIR RIS ST 71,Meridian Primary School,0.21407227449885335,4
756 PASIR RIS ST 71,Meridian Primary School,0.2867499555158185,3
203 BISHAN ST 23,Catholic High School (Primary),0.3610905474376669,13
647 JURONG WEST ST 61,Jurong West Primary School,0.19327681163800842,9
494E TAMPINES ST 43,Tampines North Primary School,0.6410646845299358,11
274B JURONG WEST ST 25,Corporation Primary School,0.5020608684501472,8
439A SENGKANG WEST AVE,Sengkang Green Primary School,0.3184658084253665,9
107 TECK WHYE LANE,Teck Whye Primary School,0.6085762302183104,10
88 C'WEALTH CL,New Town Primary School,0.5678914898448115,4
24 TANGLIN HALT RD,New Town Primary School,0.23880641962193824,3
