flat,supermarket_dist,num_supermarket_2km
754 WOODLANDS CIRCLE,0.43036628334931787,14
481 SEMBAWANG DR,0.26906551374678583,14
506 BEDOK NTH AVE 3,0.2961357235505707,21
688B CHOA CHU KANG DR,0.7980569669728865,6
674 CHOA CHU KANG CRES,0.4726457328223875,7
306 SERANGOON AVE 2,0.4415854695116763,11
673 HOUGANG AVE 8,0.15878104302769463,18
525C PASIR RIS ST 51,0.06048851949595475,16
120 PENDING RD,0.34427225230575614,13
372 BT BATOK ST 31,0.0951544893332295,13
108 JLN BT MERAH,0.3779251676040243,19
402 FAJAR RD,0.40479798376461185,12
142 PETIR RD,0.5265997114471707,13
145 RIVERVALE DR,0.3377319839112372,16
914 TAMPINES ST 91,0.5186047226969865,16
102 HENDERSON CRES,0.49961873907733034,22
560 ANG MO KIO AVE 10,0.6139837832421954,12
229 LOR 8 TOA PAYOH,0.4081950090103576,18
458 ANG MO KIO AVE 10,0.6256493296373447,14
124 GEYLANG EAST AVE 1,0.1939457670622774,28
3A UPP BOON KENG RD,0.13100540466701013,27
35 DOVER RD,0.46261264139515085,12
338 TAMPINES ST 33,0.30117881447324873,16
336 CLEMENTI AVE 2,0.11445896401646465,15
42 CHAI CHEE ST,0.39004419493224757,20
110B PUNGGOL FIELD,0.12554096819503122,15
772 PASIR RIS ST 71,0.49303881678999684,5
756 PASIR RIS ST 71,0.3859259472265679,5
203 BISHAN ST 23,0.4979145309918053,16
647 JURONG WEST ST 61,0.17345882139202076,9
494E TAMPINES ST 43,0.4324473541245016,17
274B JURONG WEST ST 25,0.45146889507036364,8
439A SENGKANG WEST AVE,0.20681387138440843,12
107 TECK WHYE LANE,0.06007932385610266,15
88 C'WEALTH CL,0.35242003683416095,15
24 TANGLIN HALT RD,0.4908207111244332,16
631 SENJA RD,0.1528781109963729,13
91 TANGLIN HALT RD,0.18691564621900464,16
629 SENJA RD,0.18974158248061562,15
450D TAMPINES ST 42,0.3536554195918986,17
90 BEDOK NTH ST 4,0.2677253809993319,19
677C JURONG WEST ST 64,0.41661639370376835,10
284 TAMPINES ST 22,0.20172316875539162,13
3B UPP BOON KENG RD,0.18458414080480395,26
311 SERANGOON AVE 2,0.5045083899614117,12
103 PASIR RIS ST 12,0.14878816536447706,12
617 JURONG WEST ST 65,0.3744917924827325,8
207 TOA PAYOH NTH,0.7281321642131106,13
642 YISHUN ST 61,0.5011273549577476,16
195D PUNGGOL RD,0.2810201313689996,15
136 SERANGOON NTH AVE 2,0.2871148952818562,18
448B SENGKANG WEST WAY,0.16910904734923546,9
420 TAMPINES ST 41,0.2762353882314097,18
416 HOUGANG AVE 10,0.43917190410923357,15
474 ANG MO KIO AVE 10,0.6324366490867158,19
126 SERANGOON NTH AVE 1,0.43338603384577007,17
33 CHAI CHEE AVE,0.18426418659099306,22
511 WOODLANDS DR 14,0.25199949955638823,12
337 TAMPINES ST 32,0.2457798562045527,16
490D CHOA CHU KANG AVE 5,0.35181913987406394,10
441A FERNVALE RD,0.10482560394267426,12
134 RIVERVALE ST,0.39670800406663626,15
613A PUNGGOL DR,0.0919603050545368,16
352A CANBERRA RD,0.16008773285050626,12
620 ANG MO KIO AVE 9,0.9151595382924135,9
704 ANG MO KIO AVE 8,0.11218639464498376,12
674A JURONG WEST ST 65,0.49351272343811914,9
393 YISHUN AVE 6,0.42349212749582676,13
58 C'WEALTH DR,0.4686087095324057,17
689C WOODLANDS DR 75,0.34088686670266005,19
53 HAVELOCK RD,0.24165465387809795,29
67 KALLANG BAHRU,0.12540022406938137,28
63 NEW UPP CHANGI RD,0.1884097533129801,18
24 TIONG BAHRU RD,0.24082299751390532,26
322 HOUGANG AVE 5,0.22596256171048226,14
467A ADMIRALTY DR,0.22226354417531738,18
101 BEDOK NTH AVE 4,0.23815134865063628,22
3 JLN BATU,0.5543621083548402,19
26 CHAI CHEE RD,0.05893382704255339,21
570 PASIR RIS ST 53,0.35844185791579186,10
509 WOODLANDS DR 14,0.23602497377817003,11
684C JURONG WEST ST 64,0.4754306052329961,10
758 YISHUN ST 72,0.1320254133857399,16
273C JURONG WEST AVE 3,0.3433615567909612,8
4 TOH YI DR,0.3917319026983946,8
172 YISHUN AVE 7,0.6337048602709728,15
440 HOUGANG AVE 8,0.3543602297559716,17
346 JURONG EAST ST 31,0.0721221126965419,13
485 JURONG WEST AVE 1,0.28969077160947465,12
327C ANCHORVALE RD,0.1021000187736816,17
505 WEST COAST DR,0.10895490512405279,11
19 JLN MEMBINA,0.1649530303363798,20
311 HOUGANG AVE 5,0.06824012488159426,14
425 BEDOK NTH RD,0.3761048609198743,20
212 BOON LAY PL,0.3104960067165484,10
156 YUNG LOH RD,0.4690687398017597,10
649 PUNGGOL CTRL,0.2750994556400271,11
816 TAMPINES AVE 4,0.33873277837473736,17
411 HOUGANG AVE 10,0.23470580034037516,16
896A TAMPINES ST 81,0.16533878257306214,16
812 JURONG WEST ST 81,0.535011195300188,9
520 HOUGANG AVE 6,0.4117645908145582,18
585 PASIR RIS ST 53,0.4215698825352034,9
437 TAMPINES ST 43,0.17606854297177846,18
608 BEDOK RESERVOIR RD,0.10811717789622186,15
482 TAMPINES ST 43,0.145248430450315,18
986C JURONG WEST ST 93,0.4221860869431102,8
352 UBI AVE 1,0.585662093717054,21
514 HOUGANG AVE 10,0.34106021861096536,19
308 HOUGANG AVE 5,0.09469069876287665,14
2 GHIM MOH RD,0.3066349315370757,13
663 JLN DAMAI,0.363589856762584,11
457 CHOA CHU KANG AVE 4,0.3121279080154495,11
218 BT BATOK ST 21,0.32017606932490245,16
41 CIRCUIT RD,0.1809375537694221,25
676A CHOA CHU KANG CRES,0.519775920262042,7
877 WOODLANDS AVE 9,0.25576984478080145,14
351 TAMPINES ST 33,0.37139021419366486,11
157 TAMPINES ST 12,0.18612908859336288,14
225 JURONG EAST ST 21,0.5760965364105792,18
125 HOUGANG AVE 1,0.487645188987503,12
238 LOR 1 TOA PAYOH,0.31085435610808393,15
613 YISHUN ST 61,0.3435350324950748,16
183 JELEBU RD,0.15727786230737004,12
443 HOUGANG AVE 8,0.3190795853544945,18
107 TOWNER RD,0.2691890304221304,28
662 CHOA CHU KANG CRES,0.6594331019164996,7
986B BUANGKOK CRES,0.18184190696552827,20
415 TAMPINES ST 41,0.40425128070569016,18
972 HOUGANG ST 91,0.2886648642864781,16
158 WOODLANDS ST 13,0.18460206339064403,6
136 BT BATOK WEST AVE 6,0.3511319666394556,19
232 ANG MO KIO AVE 3,0.10164423716708944,13
108 LOR 1 TOA PAYOH,0.7265810234867146,14
756 CHOA CHU KANG NTH 5,0.2906453803621756,10
572 PASIR RIS ST 53,0.47140052400151455,10
855 JURONG WEST ST 81,0.5918864258285159,9
619 JURONG WEST ST 65,0.2959645771880572,8
418 BEDOK NTH AVE 2,0.34058903380921707,21
516 WEST COAST RD,0.43830936090068934,11
313 TAMPINES ST 33,0.44441563747468915,15
411 SAUJANA RD,0.2881453725840784,11
530 ANG MO KIO AVE 10,0.14476889752207653,13
618 WOODLANDS AVE 4,0.41196823873993826,14
484 ADMIRALTY LINK,0.19242754775521215,13
205 TAMPINES ST 21,0.2244962049338495,13
133 YISHUN ST 11,0.31074234840424714,17
412A FERNVALE LINK,0.3061245245248976,17
59 MARINE TER,0.07707751818939997,10
454 JURONG WEST ST 42,0.22113219099993675,10
17A TELOK BLANGAH CRES,0.2559235277982917,16
716 BEDOK RESERVOIR RD,0.1911270225988102,17
139B LOR 1A TOA PAYOH,0.541465571596316,18
148 WOODLANDS ST 13,0.358474299358736,6
102 ANG MO KIO AVE 3,0.3889071520380157,12
181 PASIR RIS ST 11,0.5024681608778944,12
672A KLANG LANE,0.2935324984835777,31
13 EUNOS CRES,0.1654889536526835,20
494 JURONG WEST ST 41,0.05729387061157643,9
233 COMPASSVALE WALK,0.5056098315593419,17
974 JURONG WEST ST 93,0.30901890000616267,8
435 YISHUN AVE 6,0.3615616804357865,15
633 BEDOK RESERVOIR RD,0.3706471373971557,15
899B WOODLANDS DR 50,0.1090925312498832,14
842 TAMPINES ST 82,0.3011449927282223,11
307B ANG MO KIO AVE 1,0.3439234053037242,17
142 BISHAN ST 12,0.5249891502191844,11
12 UPP BOON KENG RD,0.09491333459989512,26
178 EDGEFIELD PLAINS,0.2653064224176983,15
132 CLARENCE LANE,0.4481880694285729,20
288D BT BATOK ST 25,0.24194614026229547,16
174C EDGEDALE PLAINS,0.18116856217682836,15
229 PASIR RIS ST 21,0.3372376090227572,9
35 JLN RUMAH TINGGI,0.18067094468737563,15
335 TAMPINES ST 32,0.23614611910298214,16
410A FERNVALE RD,0.13954053602095487,13
325 CLEMENTI AVE 5,0.25773987707952795,13
584 WOODLANDS DR 16,0.15822954532516426,10
653C JURONG WEST ST 61,0.3103243955240333,7
31 HOLLAND CL,0.4031458860509417,14
360 BT BATOK ST 31,0.23826151310756455,15
915 HOUGANG ST 91,0.4999652474816932,17
141 PASIR RIS ST 11,0.533871415797892,13
312 TAMPINES ST 33,0.39236810451715587,15
617C PUNGGOL DR,0.26477884000424134,14
177 WOODLANDS ST 13,0.4906816821660091,8
328 SERANGOON AVE 3,0.37340742758603407,11
188B RIVERVALE DR,0.24998599975558367,20
239 LOR 1 TOA PAYOH,0.36686376470762305,15
724 JURONG WEST ST 72,0.3922523419688724,9
218 PETIR RD,0.3682112396644142,10
58 STRATHMORE AVE,0.0469314773860171,17
310 TAMPINES ST 32,0.36072308890782656,15
662 YISHUN AVE 4,0.6952718115481493,16
894B WOODLANDS DR 50,0.3250583661581184,15
128 RIVERVALE ST,0.2991459224976522,19
750 WOODLANDS AVE 4,0.3734141659759674,14
326 TAMPINES ST 32,0.2746463775538982,15
79 MARINE DR,0.07289856248933209,11
309 CANBERRA RD,0.2824167764717074,13
805 CHAI CHEE RD,0.30256798660001333,19
103 SPOTTISWOODE PK RD,0.8774352081928576,17
980 JURONG WEST ST 93,0.38248251752926243,8
