school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,visionstatement_desc,missionstatement_desc,philosophy_culture_ethos,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,special_sdp_offered
ADMIRALTY PRIMARY SCHOOL,http://www.admiraltypri.moe.edu.sg/,11   WOODLANDS CIRCLE,738907,63620598,na,63627512,na,ADMIRALTY_PS@MOE.EDU.SG,Admiralty Station,"TIBS 965, 964, 913",MR PEK WEE HAUR,MDM CHUA MUI LING,na,na,na,na,na,A vibrant and dynamic education hub,Nurture good citizens and passionate learners,"At Admiralty Primary School, we strive to create a school culture that is guided by the school vision, mission and school core values. We believe that students should have a holistic education that goes beyond the cognitive and we aim to deliver a holistic development of our children in a systemic and effective manner in a thriving learning community noted for its culture of care and its passion for excellence. <br /><br />We work in close partnership with parents and the community guided by our core values 'Graciousness, Responsibility, Integrity, Teamwork and GRIT' which serves as the foundation of our school-wide approach to behaviour and discipline. The school formalises its commitment to the school core values; an empowered staff, a culture of innovation and enterprise, a safe environment that values care and share, organisation agility and staff learning. It is a commitment to strive to develop children through creative and innovative educational methods and help them grow into confident persons, critical thinkers with a strong sense of civic responsibility, playing active roles in improving the lives of others around them. We want to prepare our students to be able to play a constructive role in shaping Singapore's destiny. This is the Singapore Spirit we want to see in all our children.",WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"With globalization, it is important for our students to achieve global awareness and learn cross-cultural skills that allow them to reach out beyond the main races in Singapore to understand and work with whoever lives and work here. To achieve this goal, our Learning for Life programme on Appreciating Diversity and Building Cross-Cultural Skills helps imbue in our students the right attitude towards cultural differences, knowledge of different cultural practices and worldviews, and skills. The result will be students with an ability to understand, communicate, and effectively interact with people across cultures within and from outside of Singapore. This will strengthen our students' ability to become more involved in Singapore society that now spans even more cultural groups Our pupils develop their skills in critical thinking, communication and self-directed learning - core competencies in the 21st century.<br /><br />Performance character values such as resilience and grit serve to develop personal effectiveness that allows our children to take on challenges, work hard and to confront their deficiencies and correct them. We have a 4-year performance character programme with explicit teachings of the values and skills complemented with authentic learning experiences for our children to put all that they have learned to practice. Fostering a culture of excellence will begin with the emphasis and expectation of Best Effort from every child and setting of learning goals, academic or behavior, in the classrooms and co-curricular activities.  <br /><br />Our children will join an ever-changing world where to maintain career satisfaction and job security, they must remain relevant; that is the ability to provide practical, pertinent contributions to whatever team they are in and whoever they are working with. Relevance will be about making an impact and a difference and we teach our children from a young age to be relevant and to stay relevant."
ADMIRALTY SECONDARY SCHOOL,http://www.admiraltysec.moe.edu.sg,31   WOODLANDS CRESCENT,737916,63651733,63654596,63652774,na,Admiralty_SS@moe.edu.sg,ADMIRALTY MRT,904,MR LAM YUI- P'NG,MR NG SONG LIM STEVEN,MR SHEIK ALAUDIN B MOHD ISMAIL,na,na,na,na,"Values-Centric, Thinking School",Empowering Admirals to Actualise Their Aspirations,"Guided by our philosophy of 'Every Admiral, a Leader', we are committed to nurture every student into a confident, concerned, self-directed and contributing Admiral. Through the ADSS Total Curriculum, we provide a student-centric, values-driven education to nurture our students in the cognitive, physical, aesthetics, social, moral and leadership domains so that our students can succeed in life and contribute to society. We believe that it takes a village to raise a child. Our dedicated team of caring educators is committed to partnering parents and the community to bring out the best in every child.",WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Design Thinking is used as an anchor pedagogical approach to inculcate in our students the ability to solve problem and innovate using various technologies. With the use Design Thinking protocol in the Applied Learning Programme (ALP) for Robotics and Coding, we seek to stretch the imagination of our students, empowering them to appreciate the relevance and value of what they are learning in the academic curriculum. To further augment students' motivation and purpose in learning new knowledge and skills, Admirals are also put through a Learning for Life Programme (LLP) with a focus on leadership practices and involvement in community outreach projects. Overseas learning experiences are organised to raise students' cross-cultural understanding and to deepen their commitment and rootedness to Singapore. These include cohort trips which are organised to complement existing cultural exchange with twinning and immersion programmes."
AHMAD IBRAHIM PRIMARY SCHOOL,http://www.ahmadibrahimpri.moe.edu.sg,10   YISHUN STREET 11,768643,67592906,na,67592927,na,aips@moe.edu.sg,Yishun,"Yishun Ring Road - 812 (white plate); Yishun Ave 2 - 169, 804, 965, 117, 883",MISS ONG LEE CHOO,MADAM SULASNI BINTE ABDUL RAHMAN,na,na,na,na,na,Leaders of Character; Learners for Life,"A caring school that provides quality learning experiences for every child to develop good character, pursue academic excellence and acquire life skills for the future.","The school is named after Mr Ahmad Ibrahim, Member of Parliament for Sembawang, who served as Minister for Health and then Minister for Labour in the early years of Singapore's nationhood. The school's heritage stands as a reminder of the courage, determination and pride of our leaders who dedicated their lives to the building of our nation.<br /><br />Guided by our philosophy, ""Every Child A Star"" and belief, ""Every Child can succeed"", we endeavour to provide a holistic, student-centric and quality learning experiences for our students, through the heart and hard work of our staff and synergistic partnerships with our Parent Support Group (PSG), parents and community. <br /><br />We are a caring, nurturing and supportive school community which is constantly seeking for innovation, spurring our students to be firm advocates of continuous learning and acquiring mind set for excellence to bring about quality learning outcomes. We aspire to instil in them the joy of learning. Joyful learning@ AIPS will motivate our students to be resilient and self-directed learners and active and responsible citizens who possess the passion for continuous learning and the drive to innovate. This resonates with our school motto: ""Grow with Resilience"".",YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"The 3Rs - Leader U Development programme- From Values to Action: Developing Community-based Student Leaders (LLP) is a character and leadership development programme. It focuses on 3 key attributes of leadership - Respect, Resilience, Responsibility. We believe that every child has leadership potential and can acquire leadership skills best in Values-In-Action activities. These authentic situations provide platforms for students to be nurtured as socially responsible leaders who are able to lead and serve the peers, school, community and wider community;<br /><br />The Sustainability Education - Nurturing Students to be Stewards of Our Environment programme (ALP), develops skills, knowledge and values that promotes behaviors in support of a sustainable environment. The learning experiences aim to create the awareness of the responsibility students have for the quality of the environment, conserve precious resources and hone SEL and 21st CC skills through Inquiry-based Learning and Investigative Case-based Learning.<br /><br />Project 5Cs- We have identified 5Cs - Confidence, Co-operation, Curiosity, Creativity and Cultural and environmental awareness -as important 21st Century skills for our students. This project provides our students with authentic experiences to apply skills acquired across subjects using approaches such as Inquiry-Based Learning & Thinking Skills. A day known as Totally Outrageous Day (TOD) is designated annually for Primary 3 to Primary 5 students to showcase the products of their integrated project work. <br /><br />Traditional Asian Medicine (TAM) is the Mother Tongue Language school-based curriculum designed to allow our students to have a deeper understanding of their languages and culture through ICT mobile learning and activities conducted in our own TAM Herb Garden."
AHMAD IBRAHIM SECONDARY SCHOOL,http://www.ahmadibrahimsec.moe.edu.sg,751  YISHUN AVENUE 7,768928,67585384,na,67557778,na,aiss@moe.edu.sg,YISHUN MRT,"167, 169, 800, 811, 812, 856, 858, 859, 965, 969, 980",MISS TAN KE XIN,MR YAO ZHIXUAN TERENCE,MISS LEA SHU HUI,na,na,na,na,"Every AI student, a young lady or gentleman who cares, learns and excels for AI and for nation","To grow students with strength of character, nurture inquiring and disciplined minds, inspire courage to lead and serve","Ahmad Ibrahim Secondary School believes in building strong academic foundations and instilling academic resilience to prepare students well for their post-secondary education.  We seek to build up towards a culture of excellence and strong purpose to foster a positive school identity.  Our teachers work as a team to nurture every AI student to be a young lady or gentleman who cares, learns and excels for AI and for nation.<br /><br />The school is committed to preparing our students to be life, work and world ready.  Our character education focuses on the core values of Resilience, Integrity, Steadfastness, Excellence, Care, Courage and Gratitude.  Students are provided with various opportunities to discover, explore and develop their interests and leadership skills.  The school takes pride in its academic and co-curricular programmes that provide a quality learning experience to support the holistic development of every student.",YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"1. Character Development through Outdoor Learning Experience (OLE): Our Learning for Life Programme (LLP) is a broad-based developmental programme that spans from Sec 1 to 3, with extended opportunities for students with special interest in outdoor activities to be trained as outdoor leaders.  It provides students with authentic, real-world experiences to learn teamwork, build mental and emotional strength, develop self and collective leadership through taking on physical challenges. 2. Critical Social Inquiry (CSI) and Media Literacy: Our Applied Learning Programme (ALP) extends students' learning from subjects such as Languages, Humanities and CCE. Students collaborate, search, organise and evaluate rich resources such as written texts, short films and forum theatre to deepen their understanding of social issues. There are opportunities to participate in interest-based modules, such as broadcasting and journalism workshops as well as film and media appreciation.  3. Enhanced Music Programme (EMP): Our comprehensive music programme offers students opportunities to learn, create, and perform music through various platforms. The two-year Music Preparatory Course (MPC) for lower secondary, with EMP in upper secondary, culminates in the O-Level Music or Higher Music examinations. Students gain strong music fundamentals and enjoy a vibrant enrichment programme that includes concerts, masterclasses, arts internships, collaborations, and external mentorship programmes. 4. Student-initiated Service Learning Programme: To inspire courage to lead and serve, every class takes part in a structured 8-week programme to identify the need of a community to plan and implement a service learning project. 5. With the school's firm belief in academic resilience and stretching student potential, outstanding students are nominated for programmes such as journalism training, creative writing camp and science innovation project."
AI TONG SCHOOL,http://www.aitong.moe.edu.sg,100  Bright Hill Drive,579646,64547672,na,64532726,na,AITONG_SCH@MOE.EDU.SG,Bishan MRT,"410, 162, 52",MDM GOH LING LING DIANE,"MDM NG BEE ENG, CINDY",MR YAK BENG WEI,na,na,na,na,A School of Dynamic Learners in a Culture of Care,To Nurture Students of Good Character Rooted in Chinese Culture,"Ai Tong School was founded on 12 October 1912 for children of poor Chinese immigrants. In 1929, the school received the patronage of Singapore Hokkien Huay Kuan and has, since then, been one of its affiliated schools. Ai Tong School marked a significant milestone in 1989 when it was designated as a Special Assistance Plan (SAP) School. In 2012, Ai Tong School celebrated its 100th anniversary.<br /><br />The school believes that Ai Tong pupils should be exposed to a holistic education grounded in values within a SAP context. This culture is deep-seated, and is shaped by our heritage and history. Guided by this belief together with our school motto and value of 'Sincerity and Perseverance', the school is committed to nurture students of good character rooted in Chinese Culture. These values are unpacked for the students into the four Dynamic Learners with its associated observable qualities and social emotional competencies for the 21st century. The four Dynamic Learners are the Caring Contributor, the Responsible Learner, the Respectful Communicator and the Resilient Innovator.",BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,Chinese,na,na,"As a Special Assistance Plan (SAP) school, Ai Tong School aims to nurture Chinese values and culture among the pupils. Through a 6-year Chinese culture program, the school aims to develop pupils into Bilingual Communicators and Cultural Enthusiasts. Through experiential learning like Dizigui through speech and drama, Chinese painting during Art lessons, the reading of Chinese Classics and the participation in a Bi-Cultural Elective Programme, the school aims to heighten the students' appreciation of the Chinese Culture and inculcate in them Chinese values.<br /><br />Besides, the school also has two signature Learning for Life Program where pupils participate throughout their six years in the school to develop them into the four Dynamic Learners. The two programs are Outdoor Education and Music and Performing Arts. <br /><br />Outdoor Education aims to develop 21st century competencies and leadership skills in our pupils to prepare them for the increasingly complex and globalised world. Through activities such as camp craft, outdoor orienteering, team-bonding games and camps, the school hopes to provide platforms for pupils to construct knowledge, develop social and leadership skills and acquire values from direct, hands-on activities and experiences.  <br />Our Music and Performing Arts program aims to provide holistic learning experiences for our pupils and to instil in them an appreciation for the aesthetics. In this program, pupils will be exposed to different genre of music and art forms over the years.  For instance, pupils will learn to play musical instruments such as the kompang, guzheng and the ukulele. They will also have the opportunity to participate in the creation of Kolam art and digital collage."
ALEXANDRA PRIMARY SCHOOL,http://alexandrapri.moe.edu.sg,2A   Prince Charles Crescent,159016,62485400,na,62485409,na,alexandra_ps@moe.edu.sg,Redhill Station  Tiong Bahru Station,"51, 139, 186, 970.",MRS LIM BEE LAY,MISS CHAN YAN HOON,MDM NORAINI BTE MANSOOR,na,na,na,na,"Reflective Learner, Empathic Designer and Inspiring Leader.","We create a caring, safe and stimulating school environment where each child can grow and glow.<br /><br />We seek to build in our students a strong foundation in literacy and numeracy, as well as equip them with the attitude, values and 21st century skills to be future-ready and to engage the world while remaining rooted to Singapore.","Every child matters, is unique, and has the potential to make a difference.  <br />Every staff member is an asset, has different strengths, and wants to contribute.<br />Every parent and community partner is a valuable contributor in nurturing the child to G.L.O.W.<br /><br />We believe that all children can learn and be successful, and that they learn best when they are connected, cared for, and cherished.  By providing them with a strong foundation in literacy and numeracy, and inculcating in each child the right attitudes, values, as well as equipping them with the 21st century competencies,  they can become creative problem-solvers, articulate communicators, effective team players, life-long learners, and responsible citizens committed to the well-being of Singapore and fellow Singaporeans.  This is realised through the collaborative efforts of the school, parents, and community partners.<br /><br />Our HER3OIC Values<br />Harmony, Empathy, Resilience, Respect, Responsibility, Optimism, Integrity & Creativity",BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Lifeskills@ALPS<br />Students are taught the ALPS HER3OIC values, and Character Champions are identified and recognised with inputs from peers and teachers. The school adopts evidence-based principles such as breathing exercises and focused attention to help students regulate their emotions and raise their self-awareness as well as awareness of the people and things around them.<br /><br />Student Leadership Development<br />All students are given opportunity to lead in pledge-taking at morning assemblies. The Class Committee allows all students to be responsible for an area in class.  ALPS Ambassadors are trained to play host to visitors at school events.<br /><br />ALPS Environmental Programme<br />This aims to develop responsible citizens with an ecological conscience.  It inculcates in students awareness of environmental issues and the part they can play, including a commitment to ""always leave a place cleaner than before"" through actions like daily cleaning of canteen and classrooms.  Students also assume responsibility to educate their families about environmental conservation.<br /><br />ALPS Toymaker<br />This teaches children to find joy in a toy they make themselves using simple or recycled materials.  It also raises awareness of the scientific principles behind how toys work.  The ALPS Toymaker Card guides students in designing, making and explaining  how their toy works.  Shortlisted projects are submitted for the Sony Creative Science Award.<br /><br />Design Thinking as a Way of Life<br />The focus is on laying the attitude and values foundation for DT, in particular, empathy, collaboration, optimism, respect and resilience.  This is carried out through the Lifeskills@ALPS and complemented by the Little Designers Programme and the Design for Change Challenge where students work in teams to identify the needs within the school and community and create solutions for them."
ANCHOR GREEN PRIMARY SCHOOL,http://www.anchorgreenpri.moe.edu.sg,31   Anchorvale Drive,544969,68861356,na,63159825,na,anchorgreen_ps@moe.edu.sg,MRT : NE16-Sengkang LRT : SW7-TongKang,Bus 163 & 372,MDM NORLIZA BTE A RAHIM,MDM VASUNDHARA  REDDY,na,na,na,na,na,A Community of Aspiring and Gracious Learners,"Nurture Talents, Develop Character, Groom Leaders",Anchor Green Primary School believes that every child has unique talents and abilities and can be developed to his fullest potential if his emotional and physical needs are met.  The belief is that every individual<br />- wants to learn when opportunities are given<br />- has the potential to learn and develop to his/her fullest potential <br />- learns better in a happy and nurturing environment<br />- can be taught good values and habits <br />- can achieve all round development,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"SLEEC (Serve and Lead through Environment Education) is a programme designed to raise awareness about caring for the environment and building an eco-conscious culture among its students and staff. Over the years, structured school-wide as well as level-wide programmes have been put in place, leveraging its strong foundation in environmental education, with the aim of nurturing in our students the desired character, talent and skills in which they would be able to apply later on in life.<br /><br />The desired student outcomes of SLEEC are:<br /><br />- To inculcate the values of graciousness in our students through building the sense of responsibility in them in contributing towards the environment.<br /><br />- To impart the skills and knowledge in caring for the environment and raise greater sense of environmental awareness amongst the students. <br /><br />- To equip the students with the 21st Century Competencies to serve and lead the community through environmental education. <br /><br /><br />The A.G.P.S. Arts (Aspire, Grow, Passion and Serve through the Arts) is designed to build upon our pupils' knowledge, skills and love for the arts, nurturing their creative expressions, enriching their social, cultural and heritage awareness and ultimately grow them to be confident, critical and creative learners and active contributors to society. This programme aims to arrive at the following student outcomes and have our pupils gain 21st CC as they:<br />1) See inter-relationships among ideas, adapt, generate and create new ideas and products<br />2)    Are encouraged to express their thoughts, form opinions and appreciate differing perspectives<br />3)    Have an overall development of social skills - value diversity in ideas, confidence building<br />4)    Foster appreciation of Singapore's cultural heritage<br />5)    Strengthen understanding of own national identity and ethnic culture"
ANDERSON PRIMARY SCHOOL,http://www.andersonpri.moe.edu.sg,19   ANG MO KIO AVE 9,569785,64560340,na,65522310,na,anderson_ps@moe.edu.sg,Yio Chu Kang MRT Station,"Ang Mo Kio Ave 9 - Bus 76, 265, 268","MDM HOO WEI CHE, DELIA","MDM NGOH YING LI, JANE",na,na,na,na,na,Learners with Passion.  Leaders with Heart.  Citizens of Character.,A holistic education for all pupils to realise their potential with opportunities to excel.,"Guided by our mission,""A Holistic Education for All Pupils to realise their Potential with Opportunities to Excel"", we are committed to nurture Andersonians to be Leaders, Learners and Citizens with performance and moral character. We take pride in our holistic education anchored on our school values, Passion for Learning, Quest for Excellence, Respect for All and Service to Community.<br />Learners with Passion<br />Engagement in learning is the ignition for our curriculum design. Our signature programme, ANDventure, aims to nurture confident communicators equipped with critical thinking skills. With modules in Learning through the Arts (integration of EL with Drama, Sc with Dance), Leadership & ICT, ANDventure builds their performance character as a life-long learner. The inquiry-based approach in Science and games-based learning in Math also serve to enhance the quality of pupil learning. Our curriculum designs are woven with 21st century competencies to better prepare our pupils for the future.<br />Leaders with Heart<br />To empower Andersonians as leaders, we provide opportunities for them to be contributing members of our community. Our ViA, Anderson Gives Back, develops moral character in pupils with valuable experiences to serve the community. To heighten leadership skills and global awareness, pupils embark on Internationalisation Experiences where they interact with people from different cultures.<br />Citizens of Character<br />Our vibrant CCA programmes create opportunities for Andersonians to take their interests to the next level while building strength of character. Across varied CCAs, pupils learn important virtues such as teamwork and commitment. As they progress in skills, they also overcome challenges with diligence and resilience. Our LLPs, ALIVE and VIVACE, are testimonies to our belief in strengthening our pupils' talents through values-based CCA.<br />With a balance of academic rigour and a robust CCE culture, our Andersonians are poised to shine with Courage and Sincerity",ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"-LLP Sports & Outdoor Ed, ALIVE - Andersonians Living Actively through Values-based Experiences, aims to provide authentic learning opportunities for the mass student population and additional exposure for segmented pupils with greater interest, aptitude"
ANDERSON SECONDARY SCHOOL,http://www.andersonsec.moe.edu.sg,10   ANG MO KIO STREET 53,569206,64598303,na,64586104,na,anderson_ss@moe.edu.sg,"ANG MO KIO MRT, YIO CHU KANG MRT","265, 548, 45, 50, 72",MDM THONG MAY TENG,MDM LOW CHIA YEE,MR JONAH LIM TUCK HWAY,na,na,na,na,"Thinkers, Innovators and Leaders who make a difference for the greater good.","Developing and Inspiring in all Andersonians a sense of purpose, and constancy to reach their full potential for self and nation.","As a mainstream autonomous secondary school offering both the GCE 'O' and 'N' Level tracks, we provide a stimulating and vibrant environment that nurtures the whole child. By creating a quality difference in our students' development and experiences in Anderson, our students develop an inquiring and innovative mind, strong moral grounding, cultural awareness and self-efficacy to succeed in the 21st century.  This distinctive Anderson brand of quality education produces achievers with high integrity and robust character who are passionate about life, inspiring and of service to others. A 'Culture of Care and Excellence' pervades our school - we build pride in everyone through recognising success and inspiring excellence; we nurture a strong sense of belonging amongst our people through forging bonds and building community; we imbue in all our students the ANDE Values through our 3-prong approach of 'Educating the Head', 'Encouraging the Heart' and 'Empowering the Hands'. All these are made possible with our dedicated team of teachers who are highly competent, collaborative and nurturing, and supported by a strong alumni and supportive parents.",ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,"With the aim to nurture Andersonians to be intellectually curious, innovative, creative and culturally versatile leaders, the school takes pride in its niche and signature programmes that provide the platforms to imbue these qualities and facilitate diverse learning experiences. We have established a comprehensive Science Research Programme that provides opportunities for students to pursue their interests, develop their competencies and hone their talents in this area.  The Basic Coding Enrichment Programme aims to inculcate computational skills in students, to set them up for a lifetime of opportunities.  The Service and Student Leadership Programme integrates leadership development with community outreach and action, so that students imbibe the qualities and attitudes of a servant leader. In addition to the Elective Programme in Malay Language for Secondary Schools (EMAS), the school also offers the Malay Language Elective Programme (MLEP) to provide opportunities for students to develop a deeper appreciation of the Malay Language and culture. We hope to nurture citizens who are socially aware, informed about local and international issues, and able to make a difference to the community and people around them. All in all, there is a strong focus on experiential learning in our academic and non-academic curriculum as we seek to actively engage our students in constructing, integrating and deepening their learning experiences."
ANDERSON SERANGOON JUNIOR COLLEGE,www.asrjc.moe.edu.sg,4500 ANG MO KIO AVENUE 6,569843,64596822,na,64598734,na,asrjc@moe.edu.sg,Yio Chu Kang MRT Station,"13, 45, 86, 162, 269, 825, 851, 852, 853",MR MANOGARAN S/O SUPPIAH,MRS KOH CAIYU,MISS LOW BEE YEN,na,na,na,na,na,na,na,ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil,Science Research and Enrichment Programme;<br />Civics Education;<br />Education & Career Guidance;<br />Student Leadership Development & Talent Management Programme;<br />Global Outreach Programme
