,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
0,7 MAXWELL ROAD AMOY STREET FOOD CENTRE SINGAPORE 069111,7,AMOY STREET FOOD CENTRE,1.279339864,103.8466525,103.8466525,069111,MAXWELL ROAD,AMOY STREET FOOD CENTRE,29483.95577,29088.426139999996,Amoy Street Food Centre
0,20 MARSILING LANE MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE) SINGAPORE 730020,20,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),1.443444168,103.7769895,103.7769895,730020,MARSILING LANE,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),21731.448669999998,47234.31753,Blks 20/21 Marsiling Lane
1,21 MARSILING LANE MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE) SINGAPORE 730021,21,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),1.4438316519999999,103.7772104,103.7772104,730021,MARSILING LANE,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),21756.03311,47277.16304,Blks 20/21 Marsiling Lane
0,1 GEYLANG SERAI GEYLANG SERAI MARKET SINGAPORE 402001,1,GEYLANG SERAI MARKET,1.31672515,103.89797740000002,103.89797740000002,402001,GEYLANG SERAI,GEYLANG SERAI MARKET,35195.90192,33222.387819999996,Geylang Serai Market
0,20 MARSILING LANE MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE) SINGAPORE 730020,20,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),1.443444168,103.7769895,103.7769895,730020,MARSILING LANE,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),21731.448669999998,47234.31753,Blks 2 & 3 Changi Village Road
1,21 MARSILING LANE MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE) SINGAPORE 730021,21,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),1.4438316519999999,103.7772104,103.7772104,730021,MARSILING LANE,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),21756.03311,47277.16304,Blks 2 & 3 Changi Village Road
2,3 CHANGI VILLAGE ROAD MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD) SINGAPORE 500003,3,MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD),1.3896492230000002,103.9880996,103.9880996,500003,CHANGI VILLAGE ROAD,MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD),45225.1334,41286.43038,Blks 2 & 3 Changi Village Road
3,2 CHANGI VILLAGE ROAD MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD) SINGAPORE 500002,2,MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD),1.389176868,103.9883278,103.9883278,500002,CHANGI VILLAGE ROAD,MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD),45250.532810000004,41234.20125,Blks 2 & 3 Changi Village Road
0,1220 EAST COAST PARKWAY EAST COAST LAGOON FOOD VILLAGE SINGAPORE 468960,1220,EAST COAST LAGOON FOOD VILLAGE,1.306894678,103.9351207,103.9351207,468960,EAST COAST PARKWAY,EAST COAST LAGOON FOOD VILLAGE,39329.640080000005,32135.521039999996,East Coast Lagoon Food Village
0,112 JALAN BUKIT MERAH MARKET & HAWKER CENTRE (BLK 112 JALAN BUKIT MERAH) SINGAPORE 160112,112,MARKET & HAWKER CENTRE (BLK 112 JALAN BUKIT MERAH),1.28000483,103.82601329999999,103.82601329999999,160112,JALAN BUKIT MERAH,MARKET & HAWKER CENTRE (BLK 112 JALAN BUKIT MERAH),27186.9795,29161.95194,Blk 112 Jalan Bukit Merah
0,538 BEDOK NORTH STREET 3 MARKET & HAWKER CENTRE (BLK 538 BEDOK NORTH STREET 3) SINGAPORE 460538,538,MARKET & HAWKER CENTRE (BLK 538 BEDOK NORTH STREET 3),1.331796755,103.9250822,103.9250822,460538,BEDOK NORTH STREET 3,MARKET & HAWKER CENTRE (BLK 538 BEDOK NORTH STREET 3),38212.34758,34889.0253,Blk 538 Bedok North Street 3
0,208B NEW UPPER CHANGI ROAD HAWKER CENTRE (BLK 208B NEW UPPER CHANGI ROAD) SINGAPORE 462208,208B,HAWKER CENTRE (BLK 208B NEW UPPER CHANGI ROAD),1.32478237,103.9305703,103.9305703,462208,NEW UPPER CHANGI ROAD,HAWKER CENTRE (BLK 208B NEW UPPER CHANGI ROAD),38823.14338,34113.43286,Blk 208B New Upper Changi Road
0,49A SERANGOON GARDEN WAY SERANGOON GARDEN MARKET SINGAPORE 555945,49A,SERANGOON GARDEN MARKET,1.363157215,103.8667375,103.8667375,555945,SERANGOON GARDEN WAY,SERANGOON GARDEN MARKET,31719.13507,38356.54044,Serangoon Garden Market
0,3 YUNG SHENG ROAD DBS TAMAN JURONG MARKET & FOOD CENTRE SINGAPORE 618499,3,DBS TAMAN JURONG MARKET & FOOD CENTRE,1.334682665,103.7216193,103.7216193,618499,YUNG SHENG ROAD,DBS TAMAN JURONG MARKET & FOOD CENTRE,15569.03159,35208.22671,Taman Jurong Market & Food Centre
1,3 YUNG SHENG ROAD TAMAN JURONG MARKET & FOOD CENTRE SINGAPORE 618499,3,TAMAN JURONG MARKET & FOOD CENTRE,1.334589388,103.7215199,103.7215199,618499,YUNG SHENG ROAD,TAMAN JURONG MARKET & FOOD CENTRE,15557.975359999999,35197.91313,Taman Jurong Market & Food Centre
0,16 BEDOK SOUTH ROAD MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD) SINGAPORE 460016,16,MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD),1.320500838,103.9354736,103.9354736,460016,BEDOK SOUTH ROAD,MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD),39368.85527,33640.02422,Blk 16 Bedok South Road
1,16 BEDOK SOUTH ROAD MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD ) SINGAPORE 460016,16,MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD ),1.320552219,103.9355392,103.9355392,460016,BEDOK SOUTH ROAD,MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD ),39376.14838,33645.70604,Blk 16 Bedok South Road
0,75 LORONG 5 TOA PAYOH HAWKER CENTRE (BLK 75 TOA PAYOH LORONG 5) SINGAPORE 310075,75,HAWKER CENTRE (BLK 75 TOA PAYOH LORONG 5),1.33598913,103.8529929,103.8529929,310075,LORONG 5 TOA PAYOH,HAWKER CENTRE (BLK 75 TOA PAYOH LORONG 5),30189.54802,35352.41536,Blk 75 Toa Payoh Lorong 5
0,13 HAIG ROAD MARKET & HAWKER CENTRE (BLKS 13/14 HAIG ROAD) SINGAPORE 430013,13,MARKET & HAWKER CENTRE (BLKS 13/14 HAIG ROAD),1.31514205,103.89560949999999,103.89560949999999,430013,HAIG ROAD,MARKET & HAWKER CENTRE (BLKS 13/14 HAIG ROAD),34932.38549,33047.32991,Blks 13/14 Haig Road
0,216 BEDOK NORTH STREET 1 MARKET & HAWKER CENTRE (BLK 216 BEDOK NORTH STREET 1) SINGAPORE 460216,216,MARKET & HAWKER CENTRE (BLK 216 BEDOK NORTH STREET 1),1.327044507,103.93328699999999,103.93328699999999,460216,BEDOK NORTH STREET 1,MARKET & HAWKER CENTRE (BLK 216 BEDOK NORTH STREET 1),39125.47462,34363.58079,Blk 216 Bedok North Street 1
0,41A CAMBRIDGE ROAD PEK KIO MARKET & FOOD CENTRE SINGAPORE 211041,41A,PEK KIO MARKET & FOOD CENTRE,1.316159985,103.85022509999999,103.85022509999999,211041,CAMBRIDGE ROAD,PEK KIO MARKET & FOOD CENTRE,29881.53512,33159.80792,Pek Kio Market & Food Centre
0,17 OLD AIRPORT ROAD KALLANG ESTATE FRESH MARKET AND FOOD CENTRE SINGAPORE 397972,17,KALLANG ESTATE FRESH MARKET AND FOOD CENTRE,1.3073961729999999,103.8841302,103.8841302,397972,OLD AIRPORT ROAD,KALLANG ESTATE FRESH MARKET AND FOOD CENTRE,33654.859919999995,32190.80142,Kallang Estate Market
0,1 BEDOK ROAD BEDOK FOOD CENTRE SINGAPORE 469572,1,BEDOK FOOD CENTRE,1.320354084,103.9554719,103.9554719,469572,BEDOK ROAD,BEDOK FOOD CENTRE,41594.46632,33623.89723,Bedok Food Centre
0,500 CLEMENCEAU AVENUE NORTH NEWTON FOOD CENTRE SINGAPORE 229495,500,NEWTON FOOD CENTRE,1.312185867,103.8394125,103.8394125,229495,CLEMENCEAU AVENUE NORTH,NEWTON FOOD CENTRE,28678.19495,32720.364830000002,Newton Food Centre
0,353 CLEMENTI AVENUE 2 MARKET & HAWKER CENTRE (BLK 353 CLEMENTI AVE 2) SINGAPORE 120353,353,MARKET & HAWKER CENTRE (BLK 353 CLEMENTI AVE 2),1.31437918,103.7709196,103.7709196,120353,CLEMENTI AVENUE 2,MARKET & HAWKER CENTRE (BLK 353 CLEMENTI AVE 2),21055.58714,32962.976010000006,Blk 353 Clementi Ave 2
0,335 SMITH STREET CHINATOWN COMPLEX MARKET SINGAPORE 050335,335,CHINATOWN COMPLEX MARKET,1.282235211,103.84317759999999,103.84317759999999,050335,SMITH STREET,CHINATOWN COMPLEX MARKET,29097.23273,29408.576989999998,Chinatown Market
0,6 TANJONG PAGAR PLAZA MARKET & HAWKER CENTRE (BLK 6 TANJONG PAGAR PLAZA) SINGAPORE 081006,6,MARKET & HAWKER CENTRE (BLK 6 TANJONG PAGAR PLAZA),1.276614648,103.84316700000001,103.84316700000001,081006,TANJONG PAGAR PLAZA,MARKET & HAWKER CENTRE (BLK 6 TANJONG PAGAR PLAZA),29096.053460000003,28787.08408,Blk 6 Tanjong Pagar Plaza
0,93 LORONG 4 TOA PAYOH MARKET & HAWKER CENTRE (BLK 93 TOA PAYOH LORONG 4) SINGAPORE 310093,93,MARKET & HAWKER CENTRE (BLK 93 TOA PAYOH LORONG 4),1.338417345,103.849485,103.849485,310093,LORONG 4 TOA PAYOH,MARKET & HAWKER CENTRE (BLK 93 TOA PAYOH LORONG 4),29799.14633,35620.91214,Blk 93 Toa Payoh Lorong 4
0,531A UPPER CROSS STREET HONG LIM FOOD CENTRE AND MARKET SINGAPORE 051531,531A,HONG LIM FOOD CENTRE AND MARKET,1.2853237929999999,103.8457767,103.8457767,051531,UPPER CROSS STREET,HONG LIM FOOD CENTRE AND MARKET,29386.489019999997,29750.09767,Market Street Food Centre
1,511 BEDOK NORTH STREET 3 KAKI BUKIT 511 MARKET AND FOOD CENTRE SINGAPORE 460511,511,KAKI BUKIT 511 MARKET AND FOOD CENTRE,1.333307375,103.9306985,103.9306985,460511,BEDOK NORTH STREET 3,KAKI BUKIT 511 MARKET AND FOOD CENTRE,38837.37015,35056.0862,Market Street Food Centre
2,270 QUEEN STREET ALBERT CENTRE MARKET & FOOD CENTRE SINGAPORE 180270,270,ALBERT CENTRE MARKET & FOOD CENTRE,1.301001496,103.85421170000001,103.85421170000001,180270,QUEEN STREET,ALBERT CENTRE MARKET & FOOD CENTRE,30325.21052,31483.663439999997,Market Street Food Centre
3,254 JURONG EAST STREET 24 YUHUA VILLAGE MARKET AND FOOD CENTRE SINGAPORE 600254,254,YUHUA VILLAGE MARKET AND FOOD CENTRE,1.3435162569999999,103.737851,103.737851,600254,JURONG EAST STREET 24,YUHUA VILLAGE MARKET AND FOOD CENTRE,17375.49992,36184.92545,Market Street Food Centre
4,209 HOUGANG STREET 21 KOVAN HOUGANG MARKET AND FOOD CENTRE SINGAPORE 530209,209,KOVAN HOUGANG MARKET AND FOOD CENTRE,1.3590972669999999,103.8860623,103.8860623,530209,HOUGANG STREET 21,KOVAN HOUGANG MARKET AND FOOD CENTRE,33869.75879,37907.65041,Market Street Food Centre
5,137 TAMPINES STREET 11 TAMPINES ROUND MARKET AND FOOD CENTRE SINGAPORE 521137,137,TAMPINES ROUND MARKET AND FOOD CENTRE,1.3457861119999999,103.94458890000001,103.94458890000001,521137,TAMPINES STREET 11,TAMPINES ROUND MARKET AND FOOD CENTRE,40383.16783,36435.98911,Market Street Food Centre
0,4A EUNOS CRESCENT MARKET & HAWKER CENTRE (BLK 4A EUNOS CRESCENT) SINGAPORE 402004,4A,MARKET & HAWKER CENTRE (BLK 4A EUNOS CRESCENT),1.320340624,103.9043312,103.9043312,402004,EUNOS CRESCENT,MARKET & HAWKER CENTRE (BLK 4A EUNOS CRESCENT),35903.00488,33622.18793,Blk 4A Eunos Crescent
0,11 TELOK BLANGAH CRESCENT MARKET & HAWKER CENTRE (BLK 11 TELOK BLANGAH CRESCENT) SINGAPORE 090011,11,MARKET & HAWKER CENTRE (BLK 11 TELOK BLANGAH CRESCENT),1.277366898,103.8186417,103.8186417,090011,TELOK BLANGAH CRESCENT,MARKET & HAWKER CENTRE (BLK 11 TELOK BLANGAH CRESCENT),26366.58076,28870.26662,Blk 11 Telok Blangah Crescent
