,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
0,30 BUKIT BATOK WEST AVENUE 3 PRINCESS ELIZABETH PRIMARY SCHOOL SINGAPORE 659163,30,PRINCESS ELIZABETH PRIMARY SCHOOL,1.349194518,103.7409996,103.7409996,659163,BUKIT BATOK WEST AVENUE 3,PRINCESS ELIZABETH PRIMARY SCHOOL,17725.92669,36812.78583,Princess Elizabeth Primary School
0,2 WOODLANDS DRIVE 14 WOODGROVE PRIMARY SCHOOL SINGAPORE 738079,2,WOODGROVE PRIMARY SCHOOL,1.43305806,103.7903896,103.7903896,738079,WOODLANDS DRIVE 14,WOODGROVE PRIMARY SCHOOL,23222.65449,46085.84108,Woodgrove Primary School
0,51 CORONATION ROAD NANYANG PRIMARY SCHOOL SINGAPORE 269460,51,NANYANG PRIMARY SCHOOL,1.32111549,103.8064681,103.8064681,269460,CORONATION ROAD,NANYANG PRIMARY SCHOOL,25011.802969999997,33707.771960000005,Nanyang Primary School
1,52 KING'S ROAD NANYANG PRIMARY SCHOOL SINGAPORE 268097,52,NANYANG PRIMARY SCHOOL,1.321246289,103.8077947,103.8077947,268097,KING'S ROAD,NANYANG PRIMARY SCHOOL,25159.44468,33722.23349,Nanyang Primary School
0,70 PUNGGOL DRIVE WATERWAY PRIMARY SCHOOL SINGAPORE 828802,70,WATERWAY PRIMARY SCHOOL,1.39915421,103.9186708,103.9186708,828802,PUNGGOL DRIVE,WATERWAY PRIMARY SCHOOL,37498.55149,42337.05229,Waterway Primary School
0,2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016,2A,ALEXANDRA PRIMARY SCHOOL,1.291299035,103.82394079999999,103.82394079999999,159016,PRINCE CHARLES CRESCENT,ALEXANDRA PRIMARY SCHOOL,26956.33302,30410.80762,Alexandra Primary School
0,80 BARTLEY ROAD MARIS STELLA HIGH SCHOOL SINGAPORE 539786,80,MARIS STELLA HIGH SCHOOL,1.3421839569999998,103.8780964,103.8780964,539786,BARTLEY ROAD,MARIS STELLA HIGH SCHOOL,32983.2917,36037.44455,Maris Stella High School
1,25 MOUNT VERNON ROAD MARIS STELLA HIGH SCHOOL SINGAPORE 368051,25,MARIS STELLA HIGH SCHOOL,1.3413025140000001,103.8778141,103.8778141,368051,MOUNT VERNON ROAD,MARIS STELLA HIGH SCHOOL,32951.86778,35939.978489999994,Maris Stella High School
0,18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634,18,BUKIT VIEW PRIMARY SCHOOL,1.3459452459999999,103.75358879999999,103.75358879999999,659634,BUKIT BATOK STREET 21,BUKIT VIEW PRIMARY SCHOOL,19126.95611,36453.448110000005,Bukit View Primary School
0,11 WOODLANDS RING ROAD WOODLANDS RING PRIMARY SCHOOL SINGAPORE 738240,11,WOODLANDS RING PRIMARY SCHOOL,1.434769705,103.7978411,103.7978411,738240,WOODLANDS RING ROAD,WOODLANDS RING PRIMARY SCHOOL,24051.89781,46275.09195,Woodlands Ring Primary School
0,2 BUKIT BATOK STREET 52 LIANHUA PRIMARY SCHOOL SINGAPORE 659243,2,LIANHUA PRIMARY SCHOOL,1.3541550690000002,103.7542104,103.7542104,659243,BUKIT BATOK STREET 52,LIANHUA PRIMARY SCHOOL,19196.15516,37361.24699,Lianhua Primary School
0,2 YISHUN STREET 71 JIEMIN PRIMARY SCHOOL SINGAPORE 768515,2,JIEMIN PRIMARY SCHOOL,1.4276468519999999,103.8304804,103.8304804,768515,YISHUN STREET 71,JIEMIN PRIMARY SCHOOL,27684.148419999998,45487.45227,Jiemin Primary School
0,71 ANCHORVALE LINK SPRINGDALE PRIMARY SCHOOL SINGAPORE 544799,71,SPRINGDALE PRIMARY SCHOOL,1.394958184,103.88989649999999,103.88989649999999,544799,ANCHORVALE LINK,SPRINGDALE PRIMARY SCHOOL,34296.37258,41872.979960000004,Springdale Primary School
0,8B BISHAN STREET 13 KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 579802,8B,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.349783074,103.8545292,103.8545292,579802,BISHAN STREET 13,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,30360.509980000003,36877.68069,Kuo Chuan Presbyterian Primary School
1,8 BISHAN STREET 13 KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 579793,8,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.3493843559999998,103.8551708,103.8551708,579793,BISHAN STREET 13,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,30431.902560000002,36833.59313,Kuo Chuan Presbyterian Primary School
0,10 YISHUN STREET 11 AHMAD IBRAHIM PRIMARY SCHOOL SINGAPORE 768643,10,AHMAD IBRAHIM PRIMARY SCHOOL,1.4336812069999998,103.8329243,103.8329243,768643,YISHUN STREET 11,AHMAD IBRAHIM PRIMARY SCHOOL,27956.12163,46154.70068,Ahmad Ibrahim Primary School
0,4 CHESTNUT DRIVE CHIJ OUR LADY QUEEN OF PEACE SINGAPORE 679287,4,CHIJ OUR LADY QUEEN OF PEACE,1.366758014,103.7676948,103.7676948,679287,CHESTNUT DRIVE,CHIJ OUR LADY QUEEN OF PEACE,20696.85944,38754.772580000004,CHIJ Our Lady Queen of Peace
0,2 FARRER PARK ROAD FARRER PARK PRIMARY SCHOOL SINGAPORE 217567,2,FARRER PARK PRIMARY SCHOOL,1.312504162,103.8509027,103.8509027,217567,FARRER PARK ROAD,FARRER PARK PRIMARY SCHOOL,29956.943560000003,32755.56622,Farrer Park Primary School
0,10 SERAYA ROAD TANJONG KATONG PRIMARY SCHOOL (U/C) SINGAPORE 437259,10,TANJONG KATONG PRIMARY SCHOOL (U/C),1.305307371,103.9005317,103.9005317,437259,SERAYA ROAD,TANJONG KATONG PRIMARY SCHOOL (U/C),35480.20182,31959.875139999996,Tanjong Katong Primary School
1,860 NEW UPPER CHANGI ROAD TANJONG KATONG PRIMARY SCHOOL (JAN 2018 - DEC 2019) SINGAPORE 467353,860,TANJONG KATONG PRIMARY SCHOOL (JAN 2018 - DEC 2019),1.3243409290000001,103.93912979999999,103.93912979999999,467353,NEW UPPER CHANGI ROAD,TANJONG KATONG PRIMARY SCHOOL (JAN 2018 - DEC 2019),39775.72747,34064.65948,Tanjong Katong Primary School
0,20 CHOA CHU KANG AVENUE 2 CHUA CHU KANG PRIMARY SCHOOL SINGAPORE 689905,20,CHUA CHU KANG PRIMARY SCHOOL,1.377743283,103.7418605,103.7418605,689905,CHOA CHU KANG AVENUE 2,CHUA CHU KANG PRIMARY SCHOOL,17821.85788,39969.56327,Chua Chu Kang Primary School
0,21 HILLCREST ROAD RAFFLES GIRLS' PRIMARY SCHOOL SINGAPORE 289072,21,RAFFLES GIRLS' PRIMARY SCHOOL,1.3300739190000002,103.8062213,103.8062213,289072,HILLCREST ROAD,RAFFLES GIRLS' PRIMARY SCHOOL,24984.35581,34698.34951,Raffles Girls' Primary School
0,1257 UPPER SERANGOON ROAD CHIJ OUR LADY OF THE NATIVITY SINGAPORE 534793,1257,CHIJ OUR LADY OF THE NATIVITY,1.373174017,103.89765940000001,103.89765940000001,534793,UPPER SERANGOON ROAD,CHIJ OUR LADY OF THE NATIVITY,35160.34412,39464.21795,CHIJ Our Lady of the Nativity
