address,LATITUDE,LONGITUDE
Princess Elizabeth Primary School,1.349194518,103.7409996
Woodgrove Primary School,1.43305806,103.7903896
Nanyang Primary School,1.32111549,103.8064681
Nanyang Primary School,1.321246289,103.8077947
Waterway Primary School,1.39915421,103.9186708
Alexandra Primary School,1.291299035,103.8239408
Maris Stella High School,1.3421839569999998,103.8780964
Maris Stella High School,1.341302514,103.8778141
Bukit View Primary School,1.345945246,103.7535888
Woodlands Ring Primary School,1.434769705,103.7978411
Lianhua Primary School,1.3541550690000002,103.7542104
Jiemin Primary School,1.427646852,103.8304804
Springdale Primary School,1.394958184,103.8898965
Kuo Chuan Presbyterian Primary School,1.349783074,103.8545292
Kuo Chuan Presbyterian Primary School,1.3493843559999998,103.8551708
Ahmad Ibrahim Primary School,1.4336812069999998,103.8329243
CHIJ Our Lady Queen of Peace,1.366758014,103.7676948
Farrer Park Primary School,1.312504162,103.8509027
Tanjong Katong Primary School,1.305307371,103.9005317
Tanjong Katong Primary School,1.324340929,103.9391298
Chua Chu Kang Primary School,1.377743283,103.7418605
Raffles Girls' Primary School,1.3300739190000002,103.8062213
CHIJ Our Lady of the Nativity,1.373174017,103.8976594
Stamford Primary School,1.304091083,103.857393
Pei Tong Primary School,1.316148017,103.7675763
Tampines Primary School,1.350486398,103.9435731
CHIJ Our Lady of Good Counsel,1.357951427,103.8642502
Northoaks Primary School,1.456666873,103.81361
Ai Tong School,1.360736365,103.8330757
Red Swastika School,1.33349383,103.9343749
Keming Primary School,1.3452450530000002,103.7562645
Canberra Primary School,1.4510640069999998,103.8159709
Riverside Primary School,1.44710495,103.8019212
Meridian Primary School,1.3759708309999998,103.9351432
Rosyth School,1.372915796,103.8746932
Cantonment Primary School,1.275505441,103.8399227
Westwood Primary School,1.347154632,103.7005267
Zhangde Primary School,1.28449822,103.826149
Fuhua Primary School,1.336403763,103.7366695
Concord Primary School,1.380411513,103.7361428
Hong Wen School,1.321689285,103.8576518
Townsville Primary School,1.360362634,103.8541855
Yumin Primary School,1.351459603,103.9507161
Teck Whye Primary School,1.383558303,103.7536828
Frontier Primary School,1.336643122,103.6996828
Bukit Timah Primary School,1.337749867,103.7668553
River Valley Primary School,1.294183475,103.8360189
Xinghua Primary School,1.357996547,103.8902164
Kranji Primary School,1.393910031,103.7474154
Anchor Green Primary School,1.390662478,103.8872561
Radin Mas Primary School,1.274961612,103.82418
CHIJ (Kellock),1.274961612,103.82418
CHIJ (Katong) Primary,1.274961612,103.82418
Greenridge Primary School,1.385873754,103.7678146
Palm View Primary School,1.383840764,103.8912151
Punggol View Primary School,1.4053333140000002,103.9053865
Northland Primary School,1.421304044,103.8407929
Park View Primary School,1.377770261,103.9396887
Xishan Primary School,1.433501455,103.8382893
West Spring Primary School,1.389463118,103.7660773
Telok Kurau Primary School,1.330913472,103.9113491
Marymount Convent School,1.340427023,103.839899
Woodlands Primary School,1.436746383,103.7917717
Shuqun Primary School,1.34756849,103.721558
Lakeside Primary School,1.338375703,103.7180505
Boon Lay Garden Primary School,1.3428467080000002,103.712969
Angsana Primary School,1.348571433,103.951673
Yuhua Primary School,1.3429198180000002,103.7408611
Bendemeer Primary School,1.322208475,103.8653513
North View Primary School,1.4279434030000002,103.8483683
Punggol Cove Primary School,1.411563565,103.8989704
Pioneer Primary School,1.3487209269999998,103.6948679
Horizon Primary School,1.400008815,103.9130715
Nan Chiau Primary School,1.392064685,103.890925
West View Primary School,1.383590574,103.7602891
Chongfu School,1.438462312,103.8390707
Jing Shan Primary School,1.371892676,103.8518111
Anderson Primary School,1.384665965,103.8412384
De La Salle School,1.395071916,103.7434436
Gan Eng Seng Primary School,1.285955393,103.8152282
Temasek Primary School,1.317716389,103.9456952
Canossa Catholic Primary School,1.32651106,103.8817569
Greendale Primary School,1.396402656,103.912566
Poi Ching School,1.358087001,103.9353525
Punggol Green Primary School,1.401804873,103.8987729
Si Ling Primary School,1.432699866,103.7857788
Bukit Panjang Primary School,1.373472192,103.7693175
Clementi Primary School,1.315808563,103.7630548
Queenstown Primary School,1.295988446,103.8079019
Anglo-Chinese School (Junior),1.309321297,103.8406435
Montfort Junior School,1.373937639,103.8896908
Admiralty Primary School,1.4426796169999998,103.8001144
Zhenghua Primary School,1.379802361,103.7691708
Qihua Primary School,1.442035966,103.7883398
Geylang Methodist School (Primary),1.31759275,103.883893
Fuchun Primary School,1.430639768,103.7781752
Elias Park Primary School,1.375033032,103.9453578
Jurong Primary School,1.348684512,103.7329748
Xinmin Primary School,1.371414726,103.8830391
Yishun Primary School,1.433496399,103.8340274
Paya Lebar Methodist Girls' School (Primary),1.433496399,103.8340274
Endeavour Primary School,1.45417629,103.8174273
Yew Tee Primary School,1.396961392,103.7511946
Henry Park Primary School,1.316725811,103.7842083
