address,LATITUDE,LONGITUDE
Katong Square,1.304853371,103.9045742
PLQ Mall,1.317482311,103.8928322
Capitol Piazza,1.293063359,103.8512935
Bugis Cube,1.298195005,103.8556555
HillV2,1.363550958,103.7642361
100 AM,1.274588218,103.8434707
Midpoint Orchard,1.301783782,103.8386606
Woodlands Mart,1.44564787,103.7981623
Bukit Timah Plaza,1.338631653,103.7785854
Funan,1.291244006,103.8499848
Beauty World Plaza,1.341787998,103.7763041
Marina Bay Link Mall,1.280467943,103.85347009999998
Tanglin Mall,1.304853421,103.8238835
Tampines 1,1.354323212,103.9451412
Ngee Ann City,1.302424172,103.8346761
Palais Renaissance,1.306654845,103.829588
Marina One,1.27704169,103.8534019
White Sands,1.372398981,103.9497492
Canberra Plaza,1.443245232,103.8305235
Compass One,1.392094156,103.89498
Sim Lim Square,1.303022985,103.8528756
Gek Poh Shopping Centre,1.3487440030000002,103.6982988
Boon Lay Shopping Centre,1.346373764,103.7124728
Sun Plaza,1.448226538,103.8194621
Northpoint City,1.428113577,103.8360631
People's Park Complex,1.284128626,103.8425848
Rochester Mall,1.305407656,103.7884467
Parkway Parade,1.301080033,103.9052818
Punggol Plaza,1.394184094,103.9129764
Keat Hong Shopping Centre,1.377439635,103.7443832
Cathay Cineleisure Orchard,1.301497434,103.8364448
Sembawang Shopping Centre,1.441853253,103.8248324
Teck Whye Shopping Centre,1.380047726,103.7524646
Rivervale Mall,1.3922173269999998,103.9044731
Djitsun Mall,1.326053199,103.9296046
HDB Hub,1.33218812,103.8470778
The Centrepoint,1.301978369,103.839759
Pioneer Mall,1.341591087,103.6970201
Lucky Plaza,1.30446379,103.8340052
Tangs,1.304950056,103.8329711
Rivervale Plaza,1.385371516,103.9018496
Wheelock Place,1.30453636,103.8307142
Beauty World Centre,1.342412642,103.7765394
Buangkok Square,1.384334266,103.88162309999998
Serangoon Plaza,1.310780752,103.8551468
The Midtown,1.37047941,103.8951285
Bukit Panjang Plaza,1.379916507,103.7643171
Changi City Point,1.334036379,103.9629176
ION Orchard,1.304042534,103.8318883
West Mall,1.3501891659999998,103.749022
IMM,1.27332947,103.8118524
Scotts Square,1.3057629240000002,103.8330834
Paya Lebar Square,1.318675756,103.8925506
888 Plaza,1.437130524,103.7952899
Plaza Singapura,1.300820718,103.8450673
Upper Serangoon Shopping Centre,1.353480883,103.8788284
Alexandra Central,1.287456124,103.8054147
The Shoppes at Marina Bay Sands,1.284234913,103.8589822
Elias Mall,1.378570261,103.9419891
Hillion Mall,1.378498681,103.7630229
Junction 9,1.433031982,103.8416008
Marina Bay Sands,1.283994101,103.8594506
Far East Plaza,1.307311126,103.83394
Orchard Central,1.300723504,103.83969240000002
Downtown East,1.377775842,103.9547736
Wisteria Mall,1.417999263,103.8412365
Greenridge Shopping Centre,1.385417687,103.7662355
Our Tampines Hub,1.353101202,103.9408486
Jewel Changi Airport,1.360331745,103.9896703
The South Beach,1.294988044,103.8562762
Bedok Mall,1.3246689740000002,103.9294055
Jem,1.333054519,103.7434337
Marina Square,1.291117292,103.8577583
Bugis Junction,1.300117893,103.8561916
Queensway Shopping Centre,1.287617926,103.8033911
Sunshine Place,1.377897277,103.7390155
Westgate,1.33428313,103.7428701
Hougang Mall,1.3724367830000002,103.8937239
Suntec City,1.295466756,103.858585
Wisma Atria,1.303698907,103.8331896
Orchard Gateway,1.300443253,103.8394428
AMK Hub,1.369389227,103.848478
112 Katong,1.305086818,103.9050989
Liang Court,1.290658604,103.8445472
Square 2,1.320612586,103.8443315
Orchard Shopping Centre,1.301484998,103.8378883
City Plaza,1.314805223,103.8934183
Bugis+,1.300007152,103.8556805
Rail Mall,1.3580497459999998,103.7679043
Oasis Terraces,1.402634601,103.9132706
Heartland Mall,1.359544509,103.8851691
HarbourFront Centre,1.263796829,103.820219
City Square Mall,1.31147745,103.8567808
Eastpoint Mall,1.342586441,103.9530723
Singapore Shopping Centre,1.298132148,103.8441384
Hougang Green Shopping Mall,1.379317835,103.8878471
Kallang Wave Mall,1.303843272,103.8727507
Singapore Post Centre (Singpost Centre),1.318871844,103.8947671
Waterway Point,1.406426163,103.9022381
East Village,1.331778949,103.9462367
Zhongshan Mall,1.326945045,103.84655440000002
West Coast Plaza,1.303742583,103.7660929
KINEX (formerly One KM Mall),1.303742583,103.7660929
Thomson Plaza,1.3543252419999998,103.8303281
Century Square,1.352361131,103.9437848
Grantral Mall,1.314231317,103.7650976
VivoCity,1.264394681,103.82180859999998
Millenia Walk,1.292046053,103.8599002
Aperia,1.30974242,103.8641016
Orchard Plaza,1.30126533,103.8411518
NEX,1.350675521,103.8718616
Yew Tee Point,1.3970843240000002,103.746598
Admiralty Place,1.439880955,103.801791
The Flow,1.30455858,103.9042117
Big Box,1.331832698,103.7448792
Liat Towers,1.30510759,103.8307279
Raffles City,1.294076445,103.8533318
The Seletar Mall,1.391393061,103.8760677
Broadway Plaza,1.371936464,103.8459738
Marsiling Mall,1.433512535,103.7797469
Roxy Square,1.304333084,103.9040603
Limbang Shopping Centre,1.392242406,103.743191
Duo,1.299216621,103.8579968
Djitsun Mall Bedok,1.326053199,103.9296046
Velocity,1.319789492,103.8440336
Katong V,1.303850304,103.9028504
Greenwich V,1.3876033019999998,103.8694236
Changi Airport,1.356341421,103.9892766
Causeway Point,1.436088677,103.78601
Junction 8,1.3501724330000002,103.8484301
The Star Vista,1.30697044,103.7884203
313@Somerset,1.301006569,103.8382466
Anchorpoint,1.28893478,103.8056078
