,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
0,112 EAST COAST ROAD GOLDEN VILLAGE (GV KATONG) SINGAPORE 428802,112,GOLDEN VILLAGE (GV KATONG),1.3052246159999998,103.9051019,103.9051019,428802,EAST COAST ROAD,GOLDEN VILLAGE (GV KATONG),35988.82245,31950.7386,428802
1,112 EAST COAST ROAD 112 KATONG SINGAPORE 428802,112,112 KATONG,1.305086818,103.90509890000001,103.90509890000001,428802,EAST COAST ROAD,112 KATONG,35988.49359,31935.501630000002,428802
2,112 EAST COAST ROAD DBS 112 KATONG SINGAPORE 428802,112,DBS 112 KATONG,1.305158419,103.90506690000001,103.90506690000001,428802,EAST COAST ROAD,DBS 112 KATONG,35984.9309,31943.41871,428802
3,112 EAST COAST ROAD UOB I12 KATONG AUTOLOBBY SINGAPORE 428802,112,UOB I12 KATONG AUTOLOBBY,1.305223062,103.9050439,103.9050439,428802,EAST COAST ROAD,UOB I12 KATONG AUTOLOBBY,35982.37371,31950.56659,428802
0,78A TELOK BLANGAH STREET 32 MULTI STOREY CAR PARK SINGAPORE 101078,78A,MULTI STOREY CAR PARK,1.273387515,103.8089806,103.8089806,101078,TELOK BLANGAH STREET 32,MULTI STOREY CAR PARK,25291.36793,28430.25516,101078
1,78A TELOK BLANGAH STREET 32 PCF SPARKLETOTS PRESCHOOL @ TELOK BLANGAH BLK 78A (KN) SINGAPORE 101078,78A,PCF SPARKLETOTS PRESCHOOL @ TELOK BLANGAH BLK 78A (KN),1.27338252,103.8089348,103.8089348,101078,TELOK BLANGAH STREET 32,PCF SPARKLETOTS PRESCHOOL @ TELOK BLANGAH BLK 78A (KN),25286.27671,28429.702889999997,101078
2,78A TELOK BLANGAH STREET 32 DBS NTUC TELOK BLANGAH STREET 32 SINGAPORE 101078,78A,DBS NTUC TELOK BLANGAH STREET 32,1.273380702,103.8089806,103.8089806,101078,TELOK BLANGAH STREET 32,DBS NTUC TELOK BLANGAH STREET 32,25291.36769,28429.50179,101078
3,78A TELOK BLANGAH STREET 32 OCBC TELOK BLANGAH STREET 32 - FAIRPRICE SINGAPORE 101078,78A,OCBC TELOK BLANGAH STREET 32 - FAIRPRICE,1.273387515,103.8089806,103.8089806,101078,TELOK BLANGAH STREET 32,OCBC TELOK BLANGAH STREET 32 - FAIRPRICE,25291.3679,28430.255189999996,101078
0,11 RIVERVALE CRESCENT SINGAPORE 545082,11,NIL,1.39250411,103.9044837,103.9044837,545082,RIVERVALE CRESCENT,11 RIVERVALE CRESCENT SINGAPORE 545082,35919.73968,41601.66468,545082
1,11 RIVERVALE CRESCENT RIVERVALE MALL SINGAPORE 545082,11,RIVERVALE MALL,1.3922173269999998,103.90447309999999,103.90447309999999,545082,RIVERVALE CRESCENT,RIVERVALE MALL,35918.56129,41569.95358,545082
