SEARCHVAL,LATITUDE,LONGITUDE
GOLDEN VILLAGE (GV KATONG),1.3052246159999998,103.9051019
MULTI STOREY CAR PARK,1.273387515,103.8089806
11 RIVERVALE CRESCENT SINGAPORE 545082,1.39250411,103.9044837
CORALINUS,1.4037193980000002,103.906138
WESTLITE JUNIPER,1.40630278,103.7606146
TAMAN JURONG SHOPPING CENTRE,1.334844875,103.720462
376 BUKIT BATOK STREET 31 SINGAPORE 650376,1.358317052,103.7495799
SERANGOON GARDEN ESTATE,1.36428137,103.8651339
SINGAPORE VETERINARY ANIMAL CLINIC,1.445812977,103.7982191
OCBC NEX - FAIRPRICE,1.350438181,103.8717045
DAWSON PLACE,1.292702527,103.8109718
CITIBANK PLAZA SINGAPURA,1.30083413,103.8450727
HDB-BEDOK,1.33143368,103.93686540000002
THE MEADOWS,1.399446151,103.9160547
ELIAS MALL,1.378570261,103.9419891
OCBC CHANGI AIRPORT TERMINAL 3 - BASEMENT 2 SOUTH (IN FRONT OF FOODCOURT),1.355568558,103.9858521
925 YISHUN CENTRAL 1 SINGAPORE 760925,1.428230851,103.8374503
EMBASSY OF THE REPUBLIC OF KAZAKHSTAN,1.293410628,103.8318526
KENT VALE,1.301760495,103.7693711
CITIBANK SUNTEC CITY MALL,1.295711525,103.8585526
HDB-KEMBANGAN ESTATE,1.323653452,103.9108536
KOVAN CITY,1.357586117,103.8840493
KHATIB CENTRAL,1.416960498,103.8353478
1 UPPER ALJUNIED LANE SINGAPORE 360001,1.334292424,103.8787462
SHAW THEATRES SELETAR,1.39130623,103.8760851
DEMPSEY CLUSTER (TANGLIN VILLAGE),1.306792403,103.8101858
TECK GHEE VISTA,1.364625403,103.847677
BINJAI PARK,1.336613787,103.7869748
THE LITTLE SKOOL-HOUSE INTERNATIONAL PTE LTD,1.369248917,103.8483992
TOH GUAN DORMITORY,1.338312349,103.7535504
201B TAMPINES STREET 21 SINGAPORE 522201,1.3534531580000002,103.9530099
KIM KEAT COURT,1.339044798,103.8555411
HILLCREST PARK,1.331832465,103.8064925
HDB-BUKIT MERAH,1.277795391,103.8193413
JALAN KAYU ESTATE,1.396576911,103.8728604
982 BUANGKOK CRESCENT SINGAPORE 530982,1.380850355,103.8793091
MANDAI LODGE 1,1.4105348430000002,103.7684467
EILEEN'S LEARNING CENTRE PTE. LTD.,1.3554217730000002,103.9343152
CHANGI AIR BASE (EAST),1.327366021,104.0042442
HDB-TAMPINES,1.3475351969999998,103.9517028
NGEE ANN CITY,1.302424172,103.8346761
CLUNY COURT,1.322573169,103.8142455
512 BISHAN STREET 13 SINGAPORE 570512,1.34962235,103.8498817
1 JALAN PAPAN SINGAPORE 619392,1.320876359,103.727546
GREENDALE COURT,1.331664767,103.8070338
306 UBI AVENUE 1 SINGAPORE 400306,1.329871172,103.9019304
HDB-JURONG WEST,1.348333358,103.7243073
BUKIT BATOK MRT STATION (NS2),1.349033312,103.7495665
166 BUKIT MERAH CENTRAL SINGAPORE 150166,1.283092626,103.8176672
SENJA CENTRE,1.385096024,103.7602184
HDB-HOUGANG,1.353702971,103.8906808
BUKIT TIMAH PLAZA,1.338656776,103.7785605
HILLCREST PARK,1.331760921,103.8065867
DBS MURAI LODGE I,1.384592585,103.6947788
HDB-ANG MO KIO,1.3701886069999998,103.8434132
HDB-YISHUN,1.425398425,103.833259
934 EAST COAST ROAD SINGAPORE 459125,1.312307573,103.9252345
HDB-JURONG WEST,1.351518475,103.7194965
OCBC KILLINEY ROAD - FAIRPRICE,1.297275314,103.8385339
MCNAIR SPRING,1.321619038,103.8593827
GHIM MOH VALLEY,1.308147469,103.7862552
SINGAPORE ORCHID COUNTRY CLUB,1.415590703,103.8473342
JUNCTION 10,1.380605125,103.7600416
UOB TAMPINES MALL,1.352672322,103.944388
OCBC CITY SQUARE MALL - BRANCH,1.311382719,103.8566269
GEYLANG CONSERVATION AREA,1.314206082,103.8866995
HDB-CENTRAL AREA,1.287082783,103.8415801
LINK@896,1.33662109,103.7837859
DBS ANCHORPOINT,1.289011589,103.805331
HDB-WOODLANDS,1.442144832,103.80687
310 GEYLANG ROAD SINGAPORE 389349,1.312451315,103.8796221
WESTLINK TECHPARK,1.300911235,103.62779
HDB-CHOA CHU KANG,1.380790496,103.75195440000002
HDB-HOUGANG,1.366205547,103.8951524
154A BUKIT BATOK WEST AVENUE 8 SINGAPORE 651154,1.3473718019999998,103.7436981
161 ANG MO KIO AVENUE 4 SINGAPORE 560161,1.374164454,103.8395491
DBS JURONG APARTMENTS,1.328820419,103.6771617
CDPL (TUAS) DORMITORY,1.272360178,103.6370336
JURONG PENJURU DORMITORY 2,1.316197703,103.7325418
PUNGGOL REGALIA,1.402303014,103.9012624
LOYANG POINT,1.367000541,103.9646178
36 YIO CHU KANG ROAD SINGAPORE 545553,1.356760561,103.8760016
HDB-YISHUN,1.436114254,103.8376052
SHAW HOUSE,1.305730607,103.8315319
EAST VILLAGE,1.331775815,103.9462012
ANG MO KIO 22,1.3665583019999998,103.8416241
DBS TANGLIN MALL,1.304853421,103.8238835
ALOCASSIA APARTMENTS,1.319464412,103.8272976
